PeakID (cmd=annotatePeaks.pl classification/results/raw_results/human_shared_from_mouse.bed /ocean/projects/bio230007p/ikaplow/HumanGenomeInfo/hg38.fa -gff3 /ocean/projects/bio230007p/ikaplow/HumanGenomeInfo/gencode.v47.annotation.gff3.gz)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
14311	chr16	24070729	24071081	+	0	NA	NA	NA	NA	NA								
7358	chr11	68038504	68040001	+	0	NA	NA	NA	NA	NA								
18645	chr19	35282069	35282793	+	0	NA	NA	NA	NA	NA								
25790	chr3	126341433	126342573	+	0	NA	NA	NA	NA	NA								
27844	chr4	122921949	122923713	+	0	NA	NA	NA	NA	NA								
29057	chr5	78359853	78361600	+	0	NA	NA	NA	NA	NA								
7885	chr11	115324658	115325280	+	0	NA	NA	NA	NA	NA								
34535	chr8	42390872	42392517	+	0	NA	NA	NA	NA	NA								
12692	chr15	25437986	25439806	+	0	NA	NA	NA	NA	NA								
31884	chr6	127515670	127516614	+	0	NA	NA	NA	NA	NA								
22675	chr20	35284058	35284958	+	0	NA	NA	NA	NA	NA								
27137	chr4	41132456	41132834	+	0	NA	NA	NA	NA	NA								
30282	chr5	177378613	177379179	+	0	NA	NA	NA	NA	NA								
4749	chr10	68988517	68989597	+	0	NA	NA	NA	NA	NA								
13881	chr15	97960623	97961642	+	0	NA	NA	NA	NA	NA								
35706	chr9	17063604	17063846	+	0	NA	NA	NA	NA	NA								
7309	chr11	67239535	67240775	+	0	NA	NA	NA	NA	NA								
16958	chr17	75153375	75154822	+	0	NA	NA	NA	NA	NA								
18551	chr19	32691330	32692861	+	0	NA	NA	NA	NA	NA								
21380	chr2	190343479	190344882	+	0	NA	NA	NA	NA	NA								
2328	chr1	145706192	145708232	+	0	NA	NA	NA	NA	NA								
32524	chr7	16644678	16646833	+	0	NA	NA	NA	NA	NA								
37340	chrX	40175216	40175914	+	0	NA	NA	NA	NA	NA								
17724	chr18	50128648	50129209	+	0	NA	NA	NA	NA	NA								
17764	chr18	56637941	56638722	+	0	NA	NA	NA	NA	NA								
32564	chr7	21427746	21428592	+	0	NA	NA	NA	NA	NA								
9587	chr12	76878126	76879807	+	0	NA	NA	NA	NA	NA								
15656	chr17	17041950	17043049	+	0	NA	NA	NA	NA	NA								
35318	chr8	125411972	125413041	+	0	NA	NA	NA	NA	NA								
3611	chr1	207868182	207869709	+	0	NA	NA	NA	NA	NA								
34407	chr8	30384151	30385567	+	0	NA	NA	NA	NA	NA								
28521	chr5	31938839	31939569	+	0	NA	NA	NA	NA	NA								
27942	chr4	139453720	139454609	+	0	NA	NA	NA	NA	NA								
26928	chr4	17636567	17637716	+	0	NA	NA	NA	NA	NA								
35099	chr8	106606718	106607476	+	0	NA	NA	NA	NA	NA								
28561	chr5	34914828	34916003	+	0	NA	NA	NA	NA	NA								
22087	chr2	237674432	237675110	+	0	NA	NA	NA	NA	NA								
26968	chr4	24218968	24219735	+	0	NA	NA	NA	NA	NA								
10583	chr13	32426592	32428706	+	0	NA	NA	NA	NA	NA								
270	chr1	12527694	12529180	+	0	NA	NA	NA	NA	NA								
22688	chr20	35615793	35617708	+	0	NA	NA	NA	NA	NA								
24202	chr3	4741317	4742006	+	0	NA	NA	NA	NA	NA								
25666	chr3	120416865	120417500	+	0	NA	NA	NA	NA	NA								
15347	chr17	4365154	4366656	+	0	NA	NA	NA	NA	NA								
8350	chr12	1940048	1940326	+	0	NA	NA	NA	NA	NA								
25626	chr3	115819868	115820267	+	0	NA	NA	NA	NA	NA								
12493	chr14	95300690	95301191	+	0	NA	NA	NA	NA	NA								
1210	chr1	44068362	44070894	+	0	NA	NA	NA	NA	NA								
29337	chr5	112976389	112977274	+	0	NA	NA	NA	NA	NA								
7874	chr11	114257803	114258633	+	0	NA	NA	NA	NA	NA								
31982	chr6	135054136	135055208	+	0	NA	NA	NA	NA	NA								
27754	chr4	109729262	109730436	+	0	NA	NA	NA	NA	NA								
5097	chr10	89206739	89207330	+	0	NA	NA	NA	NA	NA								
28112	chr4	153204551	153204919	+	0	NA	NA	NA	NA	NA								
19424	chr2	11584361	11584637	+	0	NA	NA	NA	NA	NA								
30173	chr5	168591750	168592399	+	0	NA	NA	NA	NA	NA								
19464	chr2	16756866	16757500	+	0	NA	NA	NA	NA	NA								
18560	chr19	33081091	33081802	+	0	NA	NA	NA	NA	NA								
32053	chr6	139028422	139030141	+	0	NA	NA	NA	NA	NA								
18520	chr19	29678372	29679711	+	0	NA	NA	NA	NA	NA								
14138	chr16	4801532	4803175	+	0	NA	NA	NA	NA	NA								
20084	chr2	56183617	56184367	+	0	NA	NA	NA	NA	NA								
16743	chr17	63773322	63774734	+	0	NA	NA	NA	NA	NA								
27374	chr4	74654024	74654807	+	0	NA	NA	NA	NA	NA								
15459	chr17	7306889	7307828	+	0	NA	NA	NA	NA	NA								
9902	chr12	102885192	102886266	+	0	NA	NA	NA	NA	NA								
5324	chr10	97445498	97446571	+	0	NA	NA	NA	NA	NA								
13537	chr15	75201558	75202609	+	0	NA	NA	NA	NA	NA								
9906	chr12	102917026	102917550	+	0	NA	NA	NA	NA	NA								
32976	chr7	75878846	75879606	+	0	NA	NA	NA	NA	NA								
30567	chr6	7975681	7976252	+	0	NA	NA	NA	NA	NA								
11381	chr14	24298884	24300140	+	0	NA	NA	NA	NA	NA								
28550	chr5	34034443	34034737	+	0	NA	NA	NA	NA	NA								
7236	chr11	66257319	66258579	+	0	NA	NA	NA	NA	NA								
23632	chr22	21866733	21867975	+	0	NA	NA	NA	NA	NA								
30527	chr6	7042544	7042893	+	0	NA	NA	NA	NA	NA								
7232	chr11	66069454	66070934	+	0	NA	NA	NA	NA	NA								
23880	chr22	36506937	36507346	+	0	NA	NA	NA	NA	NA								
29288	chr5	109689095	109691328	+	0	NA	NA	NA	NA	NA								
10702	chr13	43905530	43905711	+	0	NA	NA	NA	NA	NA								
29454	chr5	124806291	124806991	+	0	NA	NA	NA	NA	NA								
804	chr1	32072552	32073309	+	0	NA	NA	NA	NA	NA								
34814	chr8	79890633	79891488	+	0	NA	NA	NA	NA	NA								
30652	chr6	14066702	14067324	+	0	NA	NA	NA	NA	NA								
4020	chr1	234980971	234981532	+	0	NA	NA	NA	NA	NA								
25429	chr3	100260602	100261494	+	0	NA	NA	NA	NA	NA								
6318	chr11	14642921	14645393	+	0	NA	NA	NA	NA	NA								
34798	chr8	76732731	76733537	+	0	NA	NA	NA	NA	NA								
25469	chr3	105367202	105367885	+	0	NA	NA	NA	NA	NA								
8581	chr12	12786787	12787558	+	0	NA	NA	NA	NA	NA								
18285	chr19	12793405	12794353	+	0	NA	NA	NA	NA	NA								
28540	chr5	32585294	32586481	+	0	NA	NA	NA	NA	NA								
20518	chr2	88591168	88591560	+	0	NA	NA	NA	NA	NA								
15434	chr17	7214048	7215271	+	0	NA	NA	NA	NA	NA								
1031	chr1	39183670	39183975	+	0	NA	NA	NA	NA	NA								
12613	chr14	103091446	103091749	+	0	NA	NA	NA	NA	NA								
8293	chr11	130521555	130522924	+	0	NA	NA	NA	NA	NA								
29444	chr5	124605577	124605981	+	0	NA	NA	NA	NA	NA								
10904	chr13	75481356	75482762	+	0	NA	NA	NA	NA	NA								
33089	chr7	90403086	90404481	+	0	NA	NA	NA	NA	NA								
30642	chr6	13615190	13615846	+	0	NA	NA	NA	NA	NA								
4989	chr10	79292812	79293301	+	0	NA	NA	NA	NA	NA								
26763	chr4	1289443	1290621	+	0	NA	NA	NA	NA	NA								
34309	chr8	26133860	26134517	+	0	NA	NA	NA	NA	NA								
12570	chr14	101495779	101496863	+	0	NA	NA	NA	NA	NA								
37770	chrX	110413024	110413595	+	0	NA	NA	NA	NA	NA								
9503	chr12	69469937	69471083	+	0	NA	NA	NA	NA	NA								
26723	chr3	196867490	196868493	+	0	NA	NA	NA	NA	NA								
18184	chr19	10027422	10027930	+	0	NA	NA	NA	NA	NA								
33201	chr7	96709196	96710287	+	0	NA	NA	NA	NA	NA								
14476	chr16	30957420	30958661	+	0	NA	NA	NA	NA	NA								
32043	chr6	138692060	138693656	+	0	NA	NA	NA	NA	NA								
36603	chr9	113056403	113057107	+	0	NA	NA	NA	NA	NA								
15891	chr17	31094312	31095722	+	0	NA	NA	NA	NA	NA								
10012	chr12	109097999	109098928	+	0	NA	NA	NA	NA	NA								
37321	chrX	39935951	39936734	+	0	NA	NA	NA	NA	NA								
16753	chr17	63946648	63947211	+	0	NA	NA	NA	NA	NA								
22236	chr20	2873055	2874098	+	0	NA	NA	NA	NA	NA								
15449	chr17	7251858	7252876	+	0	NA	NA	NA	NA	NA								
37361	chrX	41442007	41442944	+	0	NA	NA	NA	NA	NA								
7837	chr11	112024742	112026187	+	0	NA	NA	NA	NA	NA								
2167	chr1	111203615	111204863	+	0	NA	NA	NA	NA	NA								
2529	chr1	153922427	153923832	+	0	NA	NA	NA	NA	NA								
5325	chr10	97445498	97446571	+	0	NA	NA	NA	NA	NA								
6148	chr11	8033032	8033528	+	0	NA	NA	NA	NA	NA								
15777	chr17	28570826	28571822	+	0	NA	NA	NA	NA	NA								
29439	chr5	123610889	123611435	+	0	NA	NA	NA	NA	NA								
7508	chr11	75174370	75175419	+	0	NA	NA	NA	NA	NA								
27952	chr4	139734837	139735275	+	0	NA	NA	NA	NA	NA								
31784	chr6	116461468	116462557	+	0	NA	NA	NA	NA	NA								
34993	chr8	100212855	100213718	+	0	NA	NA	NA	NA	NA								
36917	chr9	128771261	128772385	+	0	NA	NA	NA	NA	NA								
5419	chr10	100286151	100287058	+	0	NA	NA	NA	NA	NA								
31508	chr6	89117788	89118083	+	0	NA	NA	NA	NA	NA								
6519	chr11	33160931	33162057	+	0	NA	NA	NA	NA	NA								
19213	chr19	51338820	51339691	+	0	NA	NA	NA	NA	NA								
151	chr1	8878323	8879482	+	0	NA	NA	NA	NA	NA								
265	chr1	12477874	12479123	+	0	NA	NA	NA	NA	NA								
15357	chr17	4731273	4732056	+	0	NA	NA	NA	NA	NA								
35016	chr8	100950274	100951224	+	0	NA	NA	NA	NA	NA								
7875	chr11	114280708	114282744	+	0	NA	NA	NA	NA	NA								
25890	chr3	133208266	133208719	+	0	NA	NA	NA	NA	NA								
27744	chr4	108650524	108651240	+	0	NA	NA	NA	NA	NA								
16373	chr17	49191690	49193753	+	0	NA	NA	NA	NA	NA								
12907	chr15	42574945	42576044	+	0	NA	NA	NA	NA	NA								
4648	chr10	60815974	60816888	+	0	NA	NA	NA	NA	NA								
14679	chr16	57185429	57187549	+	0	NA	NA	NA	NA	NA								
17962	chr19	1354832	1355294	+	0	NA	NA	NA	NA	NA								
16948	chr17	75046500	75048062	+	0	NA	NA	NA	NA	NA								
17922	chr18	79934306	79935599	+	0	NA	NA	NA	NA	NA								
18541	chr19	32674726	32676850	+	0	NA	NA	NA	NA	NA								
27739	chr4	108029606	108030610	+	0	NA	NA	NA	NA	NA								
37350	chrX	40734983	40736185	+	0	NA	NA	NA	NA	NA								
22571	chr20	32018394	32019691	+	0	NA	NA	NA	NA	NA								
507	chr1	23554779	23555193	+	0	NA	NA	NA	NA	NA								
29636	chr5	135972891	135973966	+	0	NA	NA	NA	NA	NA								
34631	chr8	60412554	60413103	+	0	NA	NA	NA	NA	NA								
15646	chr17	16255510	16256085	+	0	NA	NA	NA	NA	NA								
25367	chr3	81742883	81743679	+	0	NA	NA	NA	NA	NA								
25327	chr3	72462396	72463014	+	0	NA	NA	NA	NA	NA								
32180	chr6	149717283	149718777	+	0	NA	NA	NA	NA	NA								
15037	chr16	75108786	75109931	+	0	NA	NA	NA	NA	NA								
29648	chr5	136132234	136134042	+	0	NA	NA	NA	NA	NA								
18655	chr19	35648083	35648902	+	0	NA	NA	NA	NA	NA								
29047	chr5	77086141	77087776	+	0	NA	NA	NA	NA	NA								
27854	chr4	124111471	124112255	+	0	NA	NA	NA	NA	NA								
7884	chr11	115324658	115325280	+	0	NA	NA	NA	NA	NA								
15638	chr17	15999089	16000494	+	0	NA	NA	NA	NA	NA								
16936	chr17	74864900	74865368	+	0	NA	NA	NA	NA	NA								
17864	chr18	62715823	62717480	+	0	NA	NA	NA	NA	NA								
28665	chr5	42557155	42558258	+	0	NA	NA	NA	NA	NA								
9577	chr12	76505214	76506170	+	0	NA	NA	NA	NA	NA								
37030	chr9	132670336	132671432	+	0	NA	NA	NA	NA	NA								
2793	chr1	161153721	161154210	+	0	NA	NA	NA	NA	NA								
17824	chr18	59696715	59697790	+	0	NA	NA	NA	NA	NA								
13296	chr15	64782808	64783365	+	0	NA	NA	NA	NA	NA								
28625	chr5	39217674	39218387	+	0	NA	NA	NA	NA	NA								
35394	chr8	132774977	132776076	+	0	NA	NA	NA	NA	NA								
23911	chr22	37643378	37643759	+	0	NA	NA	NA	NA	NA								
35806	chr9	32550064	32551747	+	0	NA	NA	NA	NA	NA								
13781	chr15	90249259	90249819	+	0	NA	NA	NA	NA	NA								
5368	chr10	98309715	98309918	+	0	NA	NA	NA	NA	NA								
5541	chr10	102502021	102503098	+	0	NA	NA	NA	NA	NA								
762	chr1	28884602	28885329	+	0	NA	NA	NA	NA	NA								
6441	chr11	22829051	22830591	+	0	NA	NA	NA	NA	NA								
2840	chr1	162213310	162214001	+	0	NA	NA	NA	NA	NA								
28193	chr4	159102115	159104765	+	0	NA	NA	NA	NA	NA								
13910	chr15	100340803	100342337	+	0	NA	NA	NA	NA	NA								
12412	chr14	90060401	90060917	+	0	NA	NA	NA	NA	NA								
22248	chr20	3406779	3408263	+	0	NA	NA	NA	NA	NA								
34714	chr8	66712183	66713979	+	0	NA	NA	NA	NA	NA								
34898	chr8	93916266	93917953	+	0	NA	NA	NA	NA	NA								
26207	chr3	156673367	156675889	+	0	NA	NA	NA	NA	NA								
4761	chr10	69451179	69451931	+	0	NA	NA	NA	NA	NA								
9535	chr12	71440864	71441579	+	0	NA	NA	NA	NA	NA								
7559	chr11	76680488	76681434	+	0	NA	NA	NA	NA	NA								
27079	chr4	39365891	39366673	+	0	NA	NA	NA	NA	NA								
20389	chr2	74515342	74516396	+	0	NA	NA	NA	NA	NA								
11204	chr14	21014549	21015768	+	0	NA	NA	NA	NA	NA								
14156	chr16	5032901	5034095	+	0	NA	NA	NA	NA	NA								
30443	chr6	3068131	3069193	+	0	NA	NA	NA	NA	NA								
10802	chr13	49301052	49301405	+	0	NA	NA	NA	NA	NA								
18278	chr19	12696013	12696670	+	0	NA	NA	NA	NA	NA								
23780	chr22	30968362	30970005	+	0	NA	NA	NA	NA	NA								
36402	chr9	99819405	99820492	+	0	NA	NA	NA	NA	NA								
2364	chr1	147541632	147542564	+	0	NA	NA	NA	NA	NA								
16843	chr17	68512273	68513494	+	0	NA	NA	NA	NA	NA								
8500	chr12	7092518	7092735	+	0	NA	NA	NA	NA	NA								
21133	chr2	167292388	167293663	+	0	NA	NA	NA	NA	NA								
24166	chr22	50525676	50526306	+	0	NA	NA	NA	NA	NA								
11105	chr13	102902669	102903265	+	0	NA	NA	NA	NA	NA								
24126	chr22	46576379	46578147	+	0	NA	NA	NA	NA	NA								
9290	chr12	57214405	57214592	+	0	NA	NA	NA	NA	NA								
33599	chr7	123748250	123749683	+	0	NA	NA	NA	NA	NA								
7645	chr11	85685749	85686525	+	0	NA	NA	NA	NA	NA								
27130	chr4	40629319	40630043	+	0	NA	NA	NA	NA	NA								
19118	chr19	48638159	48638724	+	0	NA	NA	NA	NA	NA								
8486	chr12	6969444	6971193	+	0	NA	NA	NA	NA	NA								
24496	chr3	31980445	31981830	+	0	NA	NA	NA	NA	NA								
8482	chr12	6965123	6965374	+	0	NA	NA	NA	NA	NA								
616	chr1	26535042	26535588	+	0	NA	NA	NA	NA	NA								
32789	chr7	41437338	41437938	+	0	NA	NA	NA	NA	NA								
17589	chr18	36186881	36187891	+	0	NA	NA	NA	NA	NA								
25797	chr3	126679053	126679749	+	0	NA	NA	NA	NA	NA								
29050	chr5	77086141	77087776	+	0	NA	NA	NA	NA	NA								
3995	chr1	234608053	234608325	+	0	NA	NA	NA	NA	NA								
1527	chr1	58783755	58784853	+	0	NA	NA	NA	NA	NA								
6783	chr11	57289186	57289658	+	0	NA	NA	NA	NA	NA								
1169	chr1	43389417	43390260	+	0	NA	NA	NA	NA	NA								
10015	chr12	109130627	109131489	+	0	NA	NA	NA	NA	NA								
25871	chr3	132352583	132352839	+	0	NA	NA	NA	NA	NA								
36537	chr9	109497570	109498988	+	0	NA	NA	NA	NA	NA								
33743	chr7	132386124	132386890	+	0	NA	NA	NA	NA	NA								
9852	chr12	100266555	100267958	+	0	NA	NA	NA	NA	NA								
18282	chr19	12789535	12790172	+	0	NA	NA	NA	NA	NA								
26909	chr4	15777947	15779154	+	0	NA	NA	NA	NA	NA								
20480	chr2	85888049	85889202	+	0	NA	NA	NA	NA	NA								
9856	chr12	100473182	100474154	+	0	NA	NA	NA	NA	NA								
7721	chr11	95230296	95232632	+	0	NA	NA	NA	NA	NA								
22590	chr20	32473517	32474615	+	0	NA	NA	NA	NA	NA								
4157	chr10	5665925	5667207	+	0	NA	NA	NA	NA	NA								
4878	chr10	73785118	73786326	+	0	NA	NA	NA	NA	NA								
838	chr1	32650834	32651844	+	0	NA	NA	NA	NA	NA								
30645	chr6	13710306	13712594	+	0	NA	NA	NA	NA	NA								
19060	chr19	46991287	46991453	+	0	NA	NA	NA	NA	NA								
19020	chr19	45885626	45886362	+	0	NA	NA	NA	NA	NA								
17965	chr19	1383121	1384158	+	0	NA	NA	NA	NA	NA								
10481	chr13	26253766	26255013	+	0	NA	NA	NA	NA	NA								
28463	chr5	14183504	14184620	+	0	NA	NA	NA	NA	NA								
17925	chr18	80034217	80035014	+	0	NA	NA	NA	NA	NA								
24699	chr3	46699734	46700136	+	0	NA	NA	NA	NA	NA								
28423	chr5	10250098	10251086	+	0	NA	NA	NA	NA	NA								
1863	chr1	92960439	92962060	+	0	NA	NA	NA	NA	NA								
31033	chr6	41786366	41788006	+	0	NA	NA	NA	NA	NA								
37286	chrX	30652909	30654301	+	0	NA	NA	NA	NA	NA								
29021	chr5	75620098	75620796	+	0	NA	NA	NA	NA	NA								
34066	chr8	9151132	9151692	+	0	NA	NA	NA	NA	NA								
37877	chrX	130059435	130061015	+	0	NA	NA	NA	NA	NA								
813	chr1	32199725	32200949	+	0	NA	NA	NA	NA	NA								
34026	chr7	156764089	156764279	+	0	NA	NA	NA	NA	NA								
21246	chr2	174341553	174342181	+	0	NA	NA	NA	NA	NA								
29061	chr5	78509619	78510860	+	0	NA	NA	NA	NA	NA								
4505	chr10	33661498	33662665	+	0	NA	NA	NA	NA	NA								
466	chr1	21623330	21623993	+	0	NA	NA	NA	NA	NA								
37791	chrX	118345772	118346995	+	0	NA	NA	NA	NA	NA								
3454	chr1	204084232	204084995	+	0	NA	NA	NA	NA	NA								
12591	chr14	102139119	102140985	+	0	NA	NA	NA	NA	NA								
1311	chr1	46616159	46617261	+	0	NA	NA	NA	NA	NA								
6657	chr11	46120917	46122431	+	0	NA	NA	NA	NA	NA								
20938	chr2	144516456	144517531	+	0	NA	NA	NA	NA	NA								
18453	chr19	17859661	17860165	+	0	NA	NA	NA	NA	NA								
27955	chr4	139841712	139842437	+	0	NA	NA	NA	NA	NA								
8194	chr11	125625434	125626555	+	0	NA	NA	NA	NA	NA								
17131	chr17	79796739	79797169	+	0	NA	NA	NA	NA	NA								
8251	chr11	128835437	128836447	+	0	NA	NA	NA	NA	NA								
24317	chr3	12556854	12557199	+	0	NA	NA	NA	NA	NA								
26393	chr3	172709882	172711425	+	0	NA	NA	NA	NA	NA								
25408	chr3	98039565	98039848	+	0	NA	NA	NA	NA	NA								
37179	chrX	11787648	11788185	+	0	NA	NA	NA	NA	NA								
15870	chr17	30291223	30292384	+	0	NA	NA	NA	NA	NA								
33958	chr7	151085981	151087059	+	0	NA	NA	NA	NA	NA								
81	chr1	6601806	6602468	+	0	NA	NA	NA	NA	NA								
19051	chr19	46856239	46856771	+	0	NA	NA	NA	NA	NA								
36881	chr9	128203069	128203659	+	0	NA	NA	NA	NA	NA								
534	chr1	24080190	24082045	+	0	NA	NA	NA	NA	NA								
4533	chr10	35843494	35844187	+	0	NA	NA	NA	NA	NA								
12209	chr14	75258667	75259781	+	0	NA	NA	NA	NA	NA								
28662	chr5	42461704	42462339	+	0	NA	NA	NA	NA	NA								
23276	chr21	29188098	29188728	+	0	NA	NA	NA	NA	NA								
22143	chr2	241507222	241508827	+	0	NA	NA	NA	NA	NA								
28622	chr5	39073155	39075397	+	0	NA	NA	NA	NA	NA								
37459	chrX	49200054	49200397	+	0	NA	NA	NA	NA	NA								
19406	chr2	10721450	10721971	+	0	NA	NA	NA	NA	NA								
23887	chr22	37109212	37110108	+	0	NA	NA	NA	NA	NA								
20946	chr2	147843534	147844837	+	0	NA	NA	NA	NA	NA								
18173	chr19	8513251	8514228	+	0	NA	NA	NA	NA	NA								
30560	chr6	7697820	7698552	+	0	NA	NA	NA	NA	NA								
28557	chr5	34686677	34687207	+	0	NA	NA	NA	NA	NA								
31353	chr6	70166353	70166706	+	0	NA	NA	NA	NA	NA								
30520	chr6	6885540	6886613	+	0	NA	NA	NA	NA	NA								
18652	chr19	35612690	35612958	+	0	NA	NA	NA	NA	NA								
13530	chr15	74956171	74957357	+	0	NA	NA	NA	NA	NA								
36219	chr9	87336929	87337331	+	0	NA	NA	NA	NA	NA								
21238	chr2	173965288	173966006	+	0	NA	NA	NA	NA	NA								
25341	chr3	72847457	72848647	+	0	NA	NA	NA	NA	NA								
8024	chr11	119106869	119108487	+	0	NA	NA	NA	NA	NA								
19331	chr2	6864824	6866457	+	0	NA	NA	NA	NA	NA								
7106	chr11	64741700	64742565	+	0	NA	NA	NA	NA	NA								
18567	chr19	33235276	33235909	+	0	NA	NA	NA	NA	NA								
6546	chr11	34051316	34053292	+	0	NA	NA	NA	NA	NA								
12081	chr14	70600654	70601135	+	0	NA	NA	NA	NA	NA								
23189	chr21	15064033	15065936	+	0	NA	NA	NA	NA	NA								
8397	chr12	5433415	5433951	+	0	NA	NA	NA	NA	NA								
6542	chr11	34051316	34053292	+	0	NA	NA	NA	NA	NA								
18527	chr19	29941885	29943344	+	0	NA	NA	NA	NA	NA								
7102	chr11	64652944	64653432	+	0	NA	NA	NA	NA	NA								
5442	chr10	100969842	100970728	+	0	NA	NA	NA	NA	NA								
7289	chr11	66727626	66728429	+	0	NA	NA	NA	NA	NA								
5446	chr10	100987091	100987850	+	0	NA	NA	NA	NA	NA								
29330	chr5	112737323	112738096	+	0	NA	NA	NA	NA	NA								
5050	chr10	86711099	86711907	+	0	NA	NA	NA	NA	NA								
37656	chrX	80578558	80578763	+	0	NA	NA	NA	NA	NA								
19609	chr2	26692503	26693164	+	0	NA	NA	NA	NA	NA								
2751	chr1	159953976	159954525	+	0	NA	NA	NA	NA	NA								
17318	chr18	6886131	6886548	+	0	NA	NA	NA	NA	NA								
35724	chr9	19431504	19432234	+	0	NA	NA	NA	NA	NA								
15340	chr17	4143661	4144440	+	0	NA	NA	NA	NA	NA								
36405	chr9	99821202	99822128	+	0	NA	NA	NA	NA	NA								
35764	chr9	25207428	25207738	+	0	NA	NA	NA	NA	NA								
23531	chr22	18000474	18001618	+	0	NA	NA	NA	NA	NA								
3662	chr1	209804973	209806559	+	0	NA	NA	NA	NA	NA								
3666	chr1	210400420	210401023	+	0	NA	NA	NA	NA	NA								
3298	chr1	198158915	198159480	+	0	NA	NA	NA	NA	NA								
22080	chr2	236569610	236570090	+	0	NA	NA	NA	NA	NA								
11102	chr13	102799329	102800845	+	0	NA	NA	NA	NA	NA								
30551	chr6	7541220	7543300	+	0	NA	NA	NA	NA	NA								
17706	chr18	49492096	49492652	+	0	NA	NA	NA	NA	NA								
32506	chr7	12686408	12688369	+	0	NA	NA	NA	NA	NA								
2670	chr1	156151964	156154395	+	0	NA	NA	NA	NA	NA								
34400	chr8	29555377	29556383	+	0	NA	NA	NA	NA	NA								
16384	chr17	49414153	49415435	+	0	NA	NA	NA	NA	NA								
37347	chrX	40580440	40581090	+	0	NA	NA	NA	NA	NA								
12415	chr14	90331630	90332334	+	0	NA	NA	NA	NA	NA								
4354	chr10	21732241	21732441	+	0	NA	NA	NA	NA	NA								
20833	chr2	127106174	127107754	+	0	NA	NA	NA	NA	NA								
10805	chr13	49443346	49444878	+	0	NA	NA	NA	NA	NA								
28298	chr4	183443778	183445500	+	0	NA	NA	NA	NA	NA								
21387	chr2	190407910	190409321	+	0	NA	NA	NA	NA	NA								
31773	chr6	116059629	116061133	+	0	NA	NA	NA	NA	NA								
16516	chr17	55295366	55295988	+	0	NA	NA	NA	NA	NA								
25604	chr3	114758711	114759827	+	0	NA	NA	NA	NA	NA								
25116	chr3	58008126	58009830	+	0	NA	NA	NA	NA	NA								
7617	chr11	82900157	82901851	+	0	NA	NA	NA	NA	NA								
33853	chr7	140175229	140177513	+	0	NA	NA	NA	NA	NA								
17099	chr17	78127243	78129413	+	0	NA	NA	NA	NA	NA								
17211	chr17	81926470	81926779	+	0	NA	NA	NA	NA	NA								
9277	chr12	57110114	57112649	+	0	NA	NA	NA	NA	NA								
23831	chr22	32796711	32797490	+	0	NA	NA	NA	NA	NA								
26421	chr3	179604189	179605385	+	0	NA	NA	NA	NA	NA								
32394	chr7	1532669	1533199	+	0	NA	NA	NA	NA	NA								
26461	chr3	184261025	184262835	+	0	NA	NA	NA	NA	NA								
27996	chr4	141635998	141637537	+	0	NA	NA	NA	NA	NA								
1323	chr1	47432458	47432667	+	0	NA	NA	NA	NA	NA								
11330	chr14	23555769	23556550	+	0	NA	NA	NA	NA	NA								
30416	chr6	1381566	1382222	+	0	NA	NA	NA	NA	NA								
21609	chr2	207473151	207473478	+	0	NA	NA	NA	NA	NA								
2781	chr1	161020590	161021432	+	0	NA	NA	NA	NA	NA								
5080	chr10	88243771	88244455	+	0	NA	NA	NA	NA	NA								
6634	chr11	44726525	44727772	+	0	NA	NA	NA	NA	NA								
32806	chr7	43925871	43927168	+	0	NA	NA	NA	NA	NA								
30851	chr6	34392350	34393251	+	0	NA	NA	NA	NA	NA								
29102	chr5	80654049	80655177	+	0	NA	NA	NA	NA	NA								
5241	chr10	95290028	95291516	+	0	NA	NA	NA	NA	NA								
34072	chr8	9325122	9326568	+	0	NA	NA	NA	NA	NA								
20533	chr2	95121142	95122427	+	0	NA	NA	NA	NA	NA								
4384	chr10	23293025	23293472	+	0	NA	NA	NA	NA	NA								
12037	chr14	69397490	69399211	+	0	NA	NA	NA	NA	NA								
3437	chr1	203305086	203306485	+	0	NA	NA	NA	NA	NA								
16451	chr17	50546900	50547400	+	0	NA	NA	NA	NA	NA								
12638	chr14	104639628	104640069	+	0	NA	NA	NA	NA	NA								
669	chr1	27284759	27285008	+	0	NA	NA	NA	NA	NA								
33553	chr7	116952976	116954595	+	0	NA	NA	NA	NA	NA								
8729	chr12	27244031	27245579	+	0	NA	NA	NA	NA	NA								
3026	chr1	173925318	173925878	+	0	NA	NA	NA	NA	NA								
28391	chr5	191223	192345	+	0	NA	NA	NA	NA	NA								
16816	chr17	67377761	67379158	+	0	NA	NA	NA	NA	NA								
3022	chr1	173914540	173914968	+	0	NA	NA	NA	NA	NA								
1699	chr1	77978186	77979798	+	0	NA	NA	NA	NA	NA								
23494	chr21	45455010	45455987	+	0	NA	NA	NA	NA	NA								
31729	chr6	111087219	111088756	+	0	NA	NA	NA	NA	NA								
10505	chr13	27984273	27984548	+	0	NA	NA	NA	NA	NA								
31769	chr6	113969914	113971812	+	0	NA	NA	NA	NA	NA								
19387	chr2	9950984	9952473	+	0	NA	NA	NA	NA	NA								
