PeakID (cmd=annotatePeaks.pl classification/results/raw_results/human_mapped_from_mouse_enhancers.bed /ocean/projects/bio230007p/ikaplow/HumanGenomeInfo/hg38.fa -gff3 /ocean/projects/bio230007p/ikaplow/HumanGenomeInfo/gencode.v47.annotation.gff3.gz)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr1-4155	chr1	207884955	207885591	+	207880971	NA	NA	NA	NA	NA								
chr1-4153	chr1	207868182	207869709	+	207880971	NA	NA	NA	NA	NA								
chr1-4154	chr1	207868182	207869709	+	207880971	NA	NA	NA	NA	NA								
chr1-4152	chr1	207868182	207869709	+	207880971	NA	NA	NA	NA	NA								
chr1-4156	chr1	207884955	207885591	+	207880971	NA	NA	NA	NA	NA								
chr1-4151	chr1	207867420	207867770	+	207880971	NA	NA	NA	NA	NA								
chr2-2799	chr2	207907053	207907606	+	207868577	NA	NA	NA	NA	NA								
chr2-2797	chr2	207847830	207848235	+	207868577	NA	NA	NA	NA	NA								
chr2-2798	chr2	207897743	207898223	+	207868577	NA	NA	NA	NA	NA								
chr1-4144	chr1	207826565	207827158	+	207822902	NA	NA	NA	NA	NA								
chr1-4143	chr1	207826565	207827158	+	207822902	NA	NA	NA	NA	NA								
chr1-4145	chr1	207835823	207836155	+	207822902	NA	NA	NA	NA	NA								
chr1-4148	chr1	207850768	207851503	+	207822902	NA	NA	NA	NA	NA								
chr1-4147	chr1	207848266	207848587	+	207822902	NA	NA	NA	NA	NA								
chr1-4146	chr1	207845155	207845904	+	207822902	NA	NA	NA	NA	NA								
chr1-4149	chr1	207850768	207851503	+	207822902	NA	NA	NA	NA	NA								
chr1-4150	chr1	207850768	207851503	+	207822902	NA	NA	NA	NA	NA								
chr2-2796	chr2	207825630	207826654	+	207821287	NA	NA	NA	NA	NA								
chr2-2795	chr2	207825630	207826654	+	207821287	NA	NA	NA	NA	NA								
chr2-2794	chr2	207825630	207826654	+	207821287	NA	NA	NA	NA	NA								
chr2-2793	chr2	207825630	207826654	+	207821287	NA	NA	NA	NA	NA								
chr1-4142	chr1	207808239	207808435	+	207802442	NA	NA	NA	NA	NA								
chr2-2789	chr2	207769070	207771018	+	207762597	NA	NA	NA	NA	NA								
chr2-2786	chr2	207769070	207771018	+	207762597	NA	NA	NA	NA	NA								
chr2-2790	chr2	207775265	207775924	+	207762597	NA	NA	NA	NA	NA								
chr2-2792	chr2	207782218	207782548	+	207762597	NA	NA	NA	NA	NA								
chr2-2787	chr2	207769070	207771018	+	207762597	NA	NA	NA	NA	NA								
chr2-2791	chr2	207781697	207781944	+	207762597	NA	NA	NA	NA	NA								
chr2-2788	chr2	207769070	207771018	+	207762597	NA	NA	NA	NA	NA								
chr2-2785	chr2	207769070	207771018	+	207762597	NA	NA	NA	NA	NA								
chr2-2783	chr2	207768286	207768784	+	207762597	NA	NA	NA	NA	NA								
chr2-2784	chr2	207768286	207768784	+	207762597	NA	NA	NA	NA	NA								
chr2-2781	chr2	207624625	207625965	+	207654780	NA	NA	NA	NA	NA								
chr2-2782	chr2	207624625	207625965	+	207654780	NA	NA	NA	NA	NA								
chr2-2780	chr2	207473151	207473478	+	207529736	NA	NA	NA	NA	NA								
chr1-4140	chr1	207070046	207070424	+	207088859	NA	NA	NA	NA	NA								
chr1-4141	chr1	207077835	207078128	+	207088859	NA	NA	NA	NA	NA								
chr2-2779	chr2	207082708	207082968	+	207074136	NA	NA	NA	NA	NA								
chr1-4133	chr1	207050593	207053565	+	207043848	NA	NA	NA	NA	NA								
chr1-4134	chr1	207050593	207053565	+	207043848	NA	NA	NA	NA	NA								
chr1-4135	chr1	207050593	207053565	+	207043848	NA	NA	NA	NA	NA								
chr1-4138	chr1	207050593	207053565	+	207043848	NA	NA	NA	NA	NA								
chr1-4136	chr1	207050593	207053565	+	207043848	NA	NA	NA	NA	NA								
chr1-4137	chr1	207050593	207053565	+	207043848	NA	NA	NA	NA	NA								
chr1-4139	chr1	207050593	207053565	+	207043848	NA	NA	NA	NA	NA								
chr1-4132	chr1	207030559	207031638	+	207034365	NA	NA	NA	NA	NA								
chr1-4129	chr1	207030559	207031638	+	207034365	NA	NA	NA	NA	NA								
chr1-4131	chr1	207030559	207031638	+	207034365	NA	NA	NA	NA	NA								
chr1-4130	chr1	207030559	207031638	+	207034365	NA	NA	NA	NA	NA								
chr1-4125	chr1	207009737	207010907	+	207018521	NA	NA	NA	NA	NA								
chr1-4128	chr1	207009737	207010907	+	207018521	NA	NA	NA	NA	NA								
chr1-4123	chr1	207005742	207006393	+	207018521	NA	NA	NA	NA	NA								
chr1-4124	chr1	207005742	207006393	+	207018521	NA	NA	NA	NA	NA								
chr1-4126	chr1	207009737	207010907	+	207018521	NA	NA	NA	NA	NA								
chr1-4127	chr1	207009737	207010907	+	207018521	NA	NA	NA	NA	NA								
chr1-4116	chr1	206946105	206946597	+	206957964	NA	NA	NA	NA	NA								
chr1-4117	chr1	206946105	206946597	+	206957964	NA	NA	NA	NA	NA								
chr1-4119	chr1	206972124	206973235	+	206957964	NA	NA	NA	NA	NA								
chr1-4122	chr1	206982248	206982650	+	206957964	NA	NA	NA	NA	NA								
chr1-4121	chr1	206982248	206982650	+	206957964	NA	NA	NA	NA	NA								
chr1-4118	chr1	206951444	206952074	+	206957964	NA	NA	NA	NA	NA								
chr1-4120	chr1	206972124	206973235	+	206957964	NA	NA	NA	NA	NA								
chr1-4114	chr1	206942080	206942719	+	206928521	NA	NA	NA	NA	NA								
chr1-4115	chr1	206942080	206942719	+	206928521	NA	NA	NA	NA	NA								
chr1-4111	chr1	206911130	206911419	+	206907618	NA	NA	NA	NA	NA								
chr1-4112	chr1	206912518	206913030	+	206907618	NA	NA	NA	NA	NA								
chr1-4113	chr1	206912518	206913030	+	206907618	NA	NA	NA	NA	NA								
chr1-4110	chr1	206741193	206742138	+	206747979	NA	NA	NA	NA	NA								
chr2-2778	chr2	206693736	206693981	+	206701064	NA	NA	NA	NA	NA								
chr1-4108	chr1	206705283	206705480	+	206695836	NA	NA	NA	NA	NA								
chr1-4109	chr1	206707935	206708573	+	206695836	NA	NA	NA	NA	NA								
chr1-4107	chr1	206692870	206693510	+	206695836	NA	NA	NA	NA	NA								
chr1-4106	chr1	206692870	206693510	+	206695836	NA	NA	NA	NA	NA								
chr1-4105	chr1	206664295	206664500	+	206684904	NA	NA	NA	NA	NA								
chr1-4104	chr1	206661116	206661323	+	206684904	NA	NA	NA	NA	NA								
chr1-4103	chr1	206659175	206659530	+	206635535	NA	NA	NA	NA	NA								
chr1-4100	chr1	206611664	206612765	+	206634183	NA	NA	NA	NA	NA								
chr1-4101	chr1	206611664	206612765	+	206634183	NA	NA	NA	NA	NA								
chr1-4102	chr1	206611664	206612765	+	206634183	NA	NA	NA	NA	NA								
chr1-4096	chr1	206558077	206559235	+	206571291	NA	NA	NA	NA	NA								
chr1-4097	chr1	206579349	206580307	+	206571291	NA	NA	NA	NA	NA								
chr1-4099	chr1	206599440	206599985	+	206571291	NA	NA	NA	NA	NA								
chr1-4098	chr1	206579349	206580307	+	206571291	NA	NA	NA	NA	NA								
chr1-4095	chr1	206558077	206559235	+	206571291	NA	NA	NA	NA	NA								
chr1-4094	chr1	206536025	206536267	+	206541757	NA	NA	NA	NA	NA								
chr1-4092	chr1	206509915	206510231	+	206507530	NA	NA	NA	NA	NA								
chr1-4093	chr1	206513841	206514161	+	206507530	NA	NA	NA	NA	NA								
chr1-4091	chr1	206479331	206479960	+	206474802	NA	NA	NA	NA	NA								
chr1-4090	chr1	206479331	206479960	+	206474802	NA	NA	NA	NA	NA								
chr1-4087	chr1	206460279	206460511	+	206470475	NA	NA	NA	NA	NA								
chr1-4089	chr1	206463197	206464063	+	206470475	NA	NA	NA	NA	NA								
chr1-4088	chr1	206463197	206464063	+	206470475	NA	NA	NA	NA	NA								
chr1-4086	chr1	206101298	206101680	+	206106935	NA	NA	NA	NA	NA								
chr2-2777	chr2	206096599	206097495	+	206084604	NA	NA	NA	NA	NA								
chr1-4085	chr1	206045771	206046099	+	206053172	NA	NA	NA	NA	NA								
chr1-4084	chr1	206003174	206003603	+	206008534	NA	NA	NA	NA	NA								
chr2-2775	chr2	205975101	205975578	+	205989584	NA	NA	NA	NA	NA								
chr2-2776	chr2	205975101	205975578	+	205989584	NA	NA	NA	NA	NA								
chr1-4082	chr1	205982929	205983481	+	205976739	NA	NA	NA	NA	NA								
chr1-4083	chr1	205982929	205983481	+	205976739	NA	NA	NA	NA	NA								
chr2-2774	chr2	205946317	205947055	+	205949090	NA	NA	NA	NA	NA								
chr2-2773	chr2	205946317	205947055	+	205949090	NA	NA	NA	NA	NA								
chr2-2772	chr2	205946317	205947055	+	205949090	NA	NA	NA	NA	NA								
chr2-2771	chr2	205925845	205926283	+	205949090	NA	NA	NA	NA	NA								
chr1-4081	chr1	205918980	205919297	+	205913047	NA	NA	NA	NA	NA								
chr2-2770	chr2	205885518	205885918	+	205900629	NA	NA	NA	NA	NA								
chr1-4080	chr1	205849334	205850636	+	205828024	NA	NA	NA	NA	NA								
chr1-4078	chr1	205849334	205850636	+	205828024	NA	NA	NA	NA	NA								
chr1-4079	chr1	205849334	205850636	+	205828024	NA	NA	NA	NA	NA								
chr1-4077	chr1	205849334	205850636	+	205828024	NA	NA	NA	NA	NA								
chr1-4076	chr1	205792911	205793588	+	205789093	NA	NA	NA	NA	NA								
chr2-2763	chr2	205730329	205730950	+	205756468	NA	NA	NA	NA	NA								
chr2-2764	chr2	205763680	205763947	+	205756468	NA	NA	NA	NA	NA								
chr2-2765	chr2	205776155	205776657	+	205756468	NA	NA	NA	NA	NA								
chr2-2768	chr2	205796928	205797308	+	205756468	NA	NA	NA	NA	NA								
chr2-2762	chr2	205730329	205730950	+	205756468	NA	NA	NA	NA	NA								
chr2-2766	chr2	205789146	205789794	+	205756468	NA	NA	NA	NA	NA								
chr2-2761	chr2	205727114	205727576	+	205756468	NA	NA	NA	NA	NA								
chr2-2767	chr2	205789146	205789794	+	205756468	NA	NA	NA	NA	NA								
chr2-2760	chr2	205726546	205726948	+	205756468	NA	NA	NA	NA	NA								
chr2-2769	chr2	205806152	205806535	+	205756468	NA	NA	NA	NA	NA								
chr2-2759	chr2	205726546	205726948	+	205756468	NA	NA	NA	NA	NA								
chr1-4075	chr1	205715236	205715983	+	205712821	NA	NA	NA	NA	NA								
chr1-4074	chr1	205715236	205715983	+	205712821	NA	NA	NA	NA	NA								
chr1-4068	chr1	205678683	205680597	+	205684017	NA	NA	NA	NA	NA								
chr1-4073	chr1	205687274	205687973	+	205684017	NA	NA	NA	NA	NA								
chr1-4069	chr1	205678683	205680597	+	205684017	NA	NA	NA	NA	NA								
chr1-4071	chr1	205678683	205680597	+	205684017	NA	NA	NA	NA	NA								
chr1-4067	chr1	205672788	205673604	+	205684017	NA	NA	NA	NA	NA								
chr1-4072	chr1	205687274	205687973	+	205684017	NA	NA	NA	NA	NA								
chr1-4070	chr1	205678683	205680597	+	205684017	NA	NA	NA	NA	NA								
chr2-2754	chr2	205703113	205704810	+	205681989	NA	NA	NA	NA	NA								
chr2-2745	chr2	205558033	205558608	+	205681989	NA	NA	NA	NA	NA								
chr2-2753	chr2	205698501	205698836	+	205681989	NA	NA	NA	NA	NA								
chr2-2748	chr2	205685270	205686394	+	205681989	NA	NA	NA	NA	NA								
chr2-2755	chr2	205703113	205704810	+	205681989	NA	NA	NA	NA	NA								
chr2-2758	chr2	205712994	205713263	+	205681989	NA	NA	NA	NA	NA								
chr2-2757	chr2	205710543	205710751	+	205681989	NA	NA	NA	NA	NA								
chr2-2749	chr2	205685270	205686394	+	205681989	NA	NA	NA	NA	NA								
chr2-2750	chr2	205685270	205686394	+	205681989	NA	NA	NA	NA	NA								
chr2-2752	chr2	205696601	205696852	+	205681989	NA	NA	NA	NA	NA								
chr2-2756	chr2	205703113	205704810	+	205681989	NA	NA	NA	NA	NA								
chr2-2751	chr2	205685270	205686394	+	205681989	NA	NA	NA	NA	NA								
chr2-2746	chr2	205558033	205558608	+	205681989	NA	NA	NA	NA	NA								
chr2-2747	chr2	205675994	205676211	+	205681989	NA	NA	NA	NA	NA								
chr1-4065	chr1	205668599	205669650	+	205657850	NA	NA	NA	NA	NA								
chr1-4064	chr1	205668599	205669650	+	205657850	NA	NA	NA	NA	NA								
chr1-4063	chr1	205668599	205669650	+	205657850	NA	NA	NA	NA	NA								
chr1-4061	chr1	205647596	205649059	+	205657850	NA	NA	NA	NA	NA								
chr1-4062	chr1	205660075	205660585	+	205657850	NA	NA	NA	NA	NA								
chr1-4066	chr1	205668599	205669650	+	205657850	NA	NA	NA	NA	NA								
chr1-4059	chr1	205631114	205632507	+	205625482	NA	NA	NA	NA	NA								
chr1-4060	chr1	205631114	205632507	+	205625482	NA	NA	NA	NA	NA								
chr1-4058	chr1	205591670	205592626	+	205595040	NA	NA	NA	NA	NA								
chr1-4057	chr1	205591670	205592626	+	205595040	NA	NA	NA	NA	NA								
chr1-4055	chr1	205534063	205535569	+	205504595	NA	NA	NA	NA	NA								
chr1-4048	chr1	205518500	205519258	+	205504595	NA	NA	NA	NA	NA								
chr1-4053	chr1	205534063	205535569	+	205504595	NA	NA	NA	NA	NA								
chr1-4054	chr1	205534063	205535569	+	205504595	NA	NA	NA	NA	NA								
chr1-4047	chr1	205491186	205492004	+	205504595	NA	NA	NA	NA	NA								
chr1-4051	chr1	205524120	205524618	+	205504595	NA	NA	NA	NA	NA								
chr1-4052	chr1	205534063	205535569	+	205504595	NA	NA	NA	NA	NA								
chr1-4056	chr1	205534063	205535569	+	205504595	NA	NA	NA	NA	NA								
chr1-4050	chr1	205518500	205519258	+	205504595	NA	NA	NA	NA	NA								
chr1-4049	chr1	205518500	205519258	+	205504595	NA	NA	NA	NA	NA								
chr1-4044	chr1	205343396	205344894	+	205351246	NA	NA	NA	NA	NA								
chr1-4045	chr1	205343396	205344894	+	205351246	NA	NA	NA	NA	NA								
chr1-4046	chr1	205343396	205344894	+	205351246	NA	NA	NA	NA	NA								
chr1-4043	chr1	205325538	205325821	+	205336060	NA	NA	NA	NA	NA								
chr1-4041	chr1	205321174	205322008	+	205336060	NA	NA	NA	NA	NA								
chr1-4042	chr1	205321174	205322008	+	205336060	NA	NA	NA	NA	NA								
chr1-4033	chr1	205273493	205275669	+	205302062	NA	NA	NA	NA	NA								
chr1-4034	chr1	205273493	205275669	+	205302062	NA	NA	NA	NA	NA								
chr1-4038	chr1	205307074	205307893	+	205302062	NA	NA	NA	NA	NA								
chr1-4035	chr1	205284211	205284644	+	205302062	NA	NA	NA	NA	NA								
chr1-4040	chr1	205317282	205318004	+	205302062	NA	NA	NA	NA	NA								
chr1-4031	chr1	205273493	205275669	+	205302062	NA	NA	NA	NA	NA								
chr1-4032	chr1	205273493	205275669	+	205302062	NA	NA	NA	NA	NA								
chr1-4036	chr1	205293952	205294419	+	205302062	NA	NA	NA	NA	NA								
chr1-4037	chr1	205307074	205307893	+	205302062	NA	NA	NA	NA	NA								
chr1-4039	chr1	205317282	205318004	+	205302062	NA	NA	NA	NA	NA								
chr2-2738	chr2	205292587	205292992	+	205253303	NA	NA	NA	NA	NA								
chr2-2743	chr2	205426354	205426844	+	205253303	NA	NA	NA	NA	NA								
chr2-2744	chr2	205427039	205427335	+	205253303	NA	NA	NA	NA	NA								
chr2-2739	chr2	205313479	205313852	+	205253303	NA	NA	NA	NA	NA								
chr2-2742	chr2	205386147	205386702	+	205253303	NA	NA	NA	NA	NA								
chr2-2737	chr2	205133336	205134011	+	205253303	NA	NA	NA	NA	NA								
chr2-2741	chr2	205386147	205386702	+	205253303	NA	NA	NA	NA	NA								
chr2-2740	chr2	205371371	205371664	+	205253303	NA	NA	NA	NA	NA								
chr1-4030	chr1	205255989	205256655	+	205233820	NA	NA	NA	NA	NA								
chr1-4028	chr1	205210739	205211971	+	205202190	NA	NA	NA	NA	NA								
chr1-4029	chr1	205210739	205211971	+	205202190	NA	NA	NA	NA	NA								
chr1-4027	chr1	205210739	205211971	+	205202190	NA	NA	NA	NA	NA								
chr1-4025	chr1	205122218	205122714	+	205134645	NA	NA	NA	NA	NA								
chr1-4023	chr1	205121669	205122073	+	205134645	NA	NA	NA	NA	NA								
chr1-4024	chr1	205121669	205122073	+	205134645	NA	NA	NA	NA	NA								
chr1-4026	chr1	205122218	205122714	+	205134645	NA	NA	NA	NA	NA								
chr1-4022	chr1	205068032	205068953	+	205083128	NA	NA	NA	NA	NA								
chr1-4019	chr1	204998354	204999013	+	205042936	NA	NA	NA	NA	NA								
chr1-4021	chr1	205061316	205062155	+	205042936	NA	NA	NA	NA	NA								
chr1-4020	chr1	205061316	205062155	+	205042936	NA	NA	NA	NA	NA								
chr1-4016	chr1	204989149	204989774	+	204946607	NA	NA	NA	NA	NA								
chr1-4017	chr1	204989149	204989774	+	204946607	NA	NA	NA	NA	NA								
chr1-4013	chr1	204941059	204941653	+	204946607	NA	NA	NA	NA	NA								
chr1-4014	chr1	204941059	204941653	+	204946607	NA	NA	NA	NA	NA								
chr1-4015	chr1	204975685	204975909	+	204946607	NA	NA	NA	NA	NA								
chr1-4018	chr1	204989149	204989774	+	204946607	NA	NA	NA	NA	NA								
chr1-4012	chr1	204837590	204837772	+	204828650	NA	NA	NA	NA	NA								
chr1-4011	chr1	204782126	204782819	+	204822663	NA	NA	NA	NA	NA								
chr1-4010	chr1	204782126	204782819	+	204822663	NA	NA	NA	NA	NA								
chr1-4009	chr1	204782126	204782819	+	204822663	NA	NA	NA	NA	NA								
chr1-4005	chr1	204734808	204735394	+	204727990	NA	NA	NA	NA	NA								
chr1-4008	chr1	204765408	204766044	+	204727990	NA	NA	NA	NA	NA								
chr1-4004	chr1	204723421	204723779	+	204727990	NA	NA	NA	NA	NA								
chr1-4007	chr1	204765408	204766044	+	204727990	NA	NA	NA	NA	NA								
chr1-4006	chr1	204734808	204735394	+	204727990	NA	NA	NA	NA	NA								
chr1-4003	chr1	204593466	204593951	+	204603034	NA	NA	NA	NA	NA								
chr1-3995	chr1	204477006	204477882	+	204516378	NA	NA	NA	NA	NA								
chr1-3998	chr1	204493459	204495133	+	204516378	NA	NA	NA	NA	NA								
chr1-3996	chr1	204477006	204477882	+	204516378	NA	NA	NA	NA	NA								
chr1-3997	chr1	204493459	204495133	+	204516378	NA	NA	NA	NA	NA								
chr1-3999	chr1	204493459	204495133	+	204516378	NA	NA	NA	NA	NA								
chr1-4000	chr1	204493459	204495133	+	204516378	NA	NA	NA	NA	NA								
chr1-4002	chr1	204506518	204508101	+	204516378	NA	NA	NA	NA	NA								
chr1-4001	chr1	204503289	204503482	+	204516378	NA	NA	NA	NA	NA								
chr1-3993	chr1	204446392	204446982	+	204422627	NA	NA	NA	NA	NA								
chr1-3994	chr1	204457771	204458342	+	204422627	NA	NA	NA	NA	NA								
chr1-3988	chr1	204427359	204428240	+	204422627	NA	NA	NA	NA	NA								
chr1-3992	chr1	204446392	204446982	+	204422627	NA	NA	NA	NA	NA								
chr1-3991	chr1	204439486	204440316	+	204422627	NA	NA	NA	NA	NA								
chr1-3990	chr1	204431370	204431640	+	204422627	NA	NA	NA	NA	NA								
chr1-3989	chr1	204427359	204428240	+	204422627	NA	NA	NA	NA	NA								
chr1-3987	chr1	204398578	204398891	+	204396491	NA	NA	NA	NA	NA								
chr1-3984	chr1	204359542	204360292	+	204368430	NA	NA	NA	NA	NA								
chr1-3983	chr1	204359542	204360292	+	204368430	NA	NA	NA	NA	NA								
chr1-3985	chr1	204359542	204360292	+	204368430	NA	NA	NA	NA	NA								
chr1-3981	chr1	204358260	204358915	+	204368430	NA	NA	NA	NA	NA								
chr1-3986	chr1	204363705	204363938	+	204368430	NA	NA	NA	NA	NA								
chr1-3982	chr1	204358260	204358915	+	204368430	NA	NA	NA	NA	NA								
chr1-3979	chr1	204325902	204327204	+	204346775	NA	NA	NA	NA	NA								
chr1-3976	chr1	204313345	204314269	+	204346775	NA	NA	NA	NA	NA								
chr1-3977	chr1	204322951	204323410	+	204346775	NA	NA	NA	NA	NA								
chr1-3980	chr1	204325902	204327204	+	204346775	NA	NA	NA	NA	NA								
chr1-3975	chr1	204313345	204314269	+	204346775	NA	NA	NA	NA	NA								
chr1-3978	chr1	204325902	204327204	+	204346775	NA	NA	NA	NA	NA								
chr2-2736	chr2	204325471	204325697	+	204306841	NA	NA	NA	NA	NA								
chr1-3959	chr1	204251644	204252751	+	204276900	NA	NA	NA	NA	NA								
chr1-3969	chr1	204287997	204288753	+	204276900	NA	NA	NA	NA	NA								
chr1-3972	chr1	204296350	204297104	+	204276900	NA	NA	NA	NA	NA								
chr1-3967	chr1	204287512	204287941	+	204276900	NA	NA	NA	NA	NA								
chr1-3960	chr1	204266446	204267153	+	204276900	NA	NA	NA	NA	NA								
chr1-3971	chr1	204296350	204297104	+	204276900	NA	NA	NA	NA	NA								
chr1-3966	chr1	204286411	204287171	+	204276900	NA	NA	NA	NA	NA								
chr1-3962	chr1	204282422	204282851	+	204276900	NA	NA	NA	NA	NA								
chr1-3957	chr1	204251644	204252751	+	204276900	NA	NA	NA	NA	NA								
chr1-3970	chr1	204295673	204296184	+	204276900	NA	NA	NA	NA	NA								
chr1-3961	chr1	204279466	204280096	+	204276900	NA	NA	NA	NA	NA								
chr1-3965	chr1	204286411	204287171	+	204276900	NA	NA	NA	NA	NA								
chr1-3968	chr1	204287997	204288753	+	204276900	NA	NA	NA	NA	NA								
chr1-3958	chr1	204251644	204252751	+	204276900	NA	NA	NA	NA	NA								
chr1-3964	chr1	204283446	204283651	+	204276900	NA	NA	NA	NA	NA								
chr1-3973	chr1	204306248	204306987	+	204276900	NA	NA	NA	NA	NA								
chr1-3974	chr1	204309745	204310003	+	204276900	NA	NA	NA	NA	NA								
chr1-3963	chr1	204282906	204283275	+	204276900	NA	NA	NA	NA	NA								
chr1-3956	chr1	204243215	204243769	+	204218852	NA	NA	NA	NA	NA								
chr1-3952	chr1	204212926	204214362	+	204218852	NA	NA	NA	NA	NA								
chr1-3951	chr1	204212926	204214362	+	204218852	NA	NA	NA	NA	NA								
chr1-3950	chr1	204212926	204214362	+	204218852	NA	NA	NA	NA	NA								
chr1-3955	chr1	204225855	204226712	+	204218852	NA	NA	NA	NA	NA								
chr1-3953	chr1	204212926	204214362	+	204218852	NA	NA	NA	NA	NA								
chr1-3954	chr1	204225855	204226712	+	204218852	NA	NA	NA	NA	NA								
chr1-3949	chr1	204207193	204207561	+	204198162	NA	NA	NA	NA	NA								
chr1-3948	chr1	204148302	204148736	+	204154818	NA	NA	NA	NA	NA								
chr1-3947	chr1	204138345	204138895	+	204141403	NA	NA	NA	NA	NA								
chr1-3946	chr1	204127661	204128328	+	204131061	NA	NA	NA	NA	NA								
chr1-3944	chr1	204126459	204127234	+	204131061	NA	NA	NA	NA	NA								
chr1-3943	chr1	204123464	204123695	+	204131061	NA	NA	NA	NA	NA								
chr1-3945	chr1	204126459	204127234	+	204131061	NA	NA	NA	NA	NA								
chr2-2735	chr2	204145225	204145551	+	204090456	NA	NA	NA	NA	NA								
chr2-2734	chr2	204112016	204112558	+	204090456	NA	NA	NA	NA	NA								
chr2-2733	chr2	204112016	204112558	+	204090456	NA	NA	NA	NA	NA								
chr1-3942	chr1	204084232	204084995	+	204073114	NA	NA	NA	NA	NA								
chr1-3941	chr1	204084232	204084995	+	204073114	NA	NA	NA	NA	NA								
chr2-2732	chr2	204024596	204024816	+	204065705	NA	NA	NA	NA	NA								
chr2-2725	chr2	203787953	203788483	+	203782036	NA	NA	NA	NA	NA								
chr2-2728	chr2	203813589	203815520	+	203782036	NA	NA	NA	NA	NA								
chr2-2727	chr2	203803987	203804418	+	203782036	NA	NA	NA	NA	NA								
chr2-2726	chr2	203791199	203791412	+	203782036	NA	NA	NA	NA	NA								
chr2-2730	chr2	203813589	203815520	+	203782036	NA	NA	NA	NA	NA								
chr2-2729	chr2	203813589	203815520	+	203782036	NA	NA	NA	NA	NA								
chr2-2731	chr2	203813589	203815520	+	203782036	NA	NA	NA	NA	NA								
chr1-3940	chr1	203723573	203724171	+	203729580	NA	NA	NA	NA	NA								
chr1-3939	chr1	203702108	203702506	+	203729580	NA	NA	NA	NA	NA								
chr2-2724	chr2	203650810	203651422	+	203634576	NA	NA	NA	NA	NA								
chr2-2723	chr2	203649173	203650290	+	203634576	NA	NA	NA	NA	NA								
chr2-2719	chr2	203620244	203621145	+	203634576	NA	NA	NA	NA	NA								
chr2-2710	chr2	203534673	203535960	+	203634576	NA	NA	NA	NA	NA								
chr2-2717	chr2	203599702	203600087	+	203634576	NA	NA	NA	NA	NA								
chr2-2708	chr2	203534673	203535960	+	203634576	NA	NA	NA	NA	NA								
chr2-2711	chr2	203534673	203535960	+	203634576	NA	NA	NA	NA	NA								
chr2-2716	chr2	203599702	203600087	+	203634576	NA	NA	NA	NA	NA								
chr2-2712	chr2	203565171	203566210	+	203634576	NA	NA	NA	NA	NA								
chr2-2718	chr2	203605460	203605826	+	203634576	NA	NA	NA	NA	NA								
chr2-2706	chr2	203533638	203534479	+	203634576	NA	NA	NA	NA	NA								
chr2-2720	chr2	203620244	203621145	+	203634576	NA	NA	NA	NA	NA								
chr2-2715	chr2	203565171	203566210	+	203634576	NA	NA	NA	NA	NA								
chr2-2722	chr2	203649173	203650290	+	203634576	NA	NA	NA	NA	NA								
chr2-2721	chr2	203631024	203631431	+	203634576	NA	NA	NA	NA	NA								
chr2-2707	chr2	203533638	203534479	+	203634576	NA	NA	NA	NA	NA								
chr2-2709	chr2	203534673	203535960	+	203634576	NA	NA	NA	NA	NA								
chr2-2714	chr2	203565171	203566210	+	203634576	NA	NA	NA	NA	NA								
chr2-2713	chr2	203565171	203566210	+	203634576	NA	NA	NA	NA	NA								
chr1-3938	chr1	203592024	203592581	+	203626786	NA	NA	NA	NA	NA								
chr1-3936	chr1	203504517	203505267	+	203494152	NA	NA	NA	NA	NA								
chr1-3937	chr1	203526224	203526430	+	203494152	NA	NA	NA	NA	NA								
chr1-3935	chr1	203487655	203488120	+	203494152	NA	NA	NA	NA	NA								
chr1-3932	chr1	203440522	203441556	+	203475805	NA	NA	NA	NA	NA								
chr1-3931	chr1	203440522	203441556	+	203475805	NA	NA	NA	NA	NA								
chr1-3933	chr1	203464943	203465857	+	203475805	NA	NA	NA	NA	NA								
chr1-3934	chr1	203465887	203466450	+	203475805	NA	NA	NA	NA	NA								
chr1-3930	chr1	203342703	203343158	+	203340627	NA	NA	NA	NA	NA								
chr1-3929	chr1	203326925	203327742	+	203318995	NA	NA	NA	NA	NA								
chr1-3926	chr1	203324734	203325001	+	203318995	NA	NA	NA	NA	NA								
chr1-3927	chr1	203326925	203327742	+	203318995	NA	NA	NA	NA	NA								
chr1-3928	chr1	203326925	203327742	+	203318995	NA	NA	NA	NA	NA								
chr1-3925	chr1	203281926	203283438	+	203290127	NA	NA	NA	NA	NA								
chr1-3923	chr1	203281926	203283438	+	203290127	NA	NA	NA	NA	NA								
chr1-3924	chr1	203281926	203283438	+	203290127	NA	NA	NA	NA	NA								
chr1-3922	chr1	203216160	203216601	+	203212826	NA	NA	NA	NA	NA								
chr1-3921	chr1	203186539	203187207	+	203178930	NA	NA	NA	NA	NA								
chr1-3920	chr1	203186539	203187207	+	203178930	NA	NA	NA	NA	NA								
chr1-3918	chr1	203172192	203172720	+	203167810	NA	NA	NA	NA	NA								
chr1-3916	chr1	203163588	203164139	+	203167810	NA	NA	NA	NA	NA								
chr1-3917	chr1	203163588	203164139	+	203167810	NA	NA	NA	NA	NA								
chr1-3919	chr1	203172192	203172720	+	203167810	NA	NA	NA	NA	NA								
