PeakID (cmd=annotatePeaks.pl classification/results/raw_results/human_promoters.bed /ocean/projects/bio230007p/ikaplow/HumanGenomeInfo/hg38.fa -gff3 /ocean/projects/bio230007p/ikaplow/HumanGenomeInfo/gencode.v47.annotation.gff3.gz)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr8-1061	chr8	100574062	100574449	+	100572888	NA	NA	NA	NA	NA								
chr7-1089	chr7	100569351	100570576	+	100570130	NA	NA	NA	NA	NA								
chr7-1087	chr7	100569351	100570576	+	100570130	NA	NA	NA	NA	NA								
chr7-1085	chr7	100569351	100570576	+	100570130	NA	NA	NA	NA	NA								
chr7-1086	chr7	100569351	100570576	+	100569731	NA	NA	NA	NA	NA								
chr7-1082	chr7	100567739	100568755	+	100569731	NA	NA	NA	NA	NA								
chr7-1088	chr7	100569351	100570576	+	100569731	NA	NA	NA	NA	NA								
chr7-1083	chr7	100567739	100568755	+	100569731	NA	NA	NA	NA	NA								
chr7-1084	chr7	100569351	100570576	+	100569731	NA	NA	NA	NA	NA								
chr2-1248	chr2	100562364	100563557	+	100562992	NA	NA	NA	NA	NA								
chr2-1249	chr2	100562364	100563557	+	100562992	NA	NA	NA	NA	NA								
chr2-1250	chr2	100562364	100563557	+	100562992	NA	NA	NA	NA	NA								
chr15-1205	chr15	100559084	100559793	+	100559368	NA	NA	NA	NA	NA								
chr15-1204	chr15	100559084	100559793	+	100559368	NA	NA	NA	NA	NA								
chr7-1081	chr7	100538700	100539537	+	100539202	NA	NA	NA	NA	NA								
chr1-1793	chr1	100538801	100540243	+	100538138	NA	NA	NA	NA	NA								
chr1-1794	chr1	100538801	100540243	+	100538138	NA	NA	NA	NA	NA								
chr1-1791	chr1	100538801	100540243	+	100538138	NA	NA	NA	NA	NA								
chr1-1792	chr1	100538801	100540243	+	100538138	NA	NA	NA	NA	NA								
chr13-733	chr13	100533533	100533999	+	100535740	NA	NA	NA	NA	NA								
chr5-923	chr5	100534760	100536075	+	100535373	NA	NA	NA	NA	NA								
chr5-924	chr5	100534760	100536075	+	100535373	NA	NA	NA	NA	NA								
chr5-922	chr5	100534760	100536075	+	100535373	NA	NA	NA	NA	NA								
chr10-1284	chr10	100529271	100530377	+	100529071	NA	NA	NA	NA	NA								
chr10-1283	chr10	100529271	100530377	+	100529071	NA	NA	NA	NA	NA								
chr3-1014	chr3	100492033	100493052	+	100492618	NA	NA	NA	NA	NA								
chr3-1015	chr3	100492033	100493052	+	100492618	NA	NA	NA	NA	NA								
chr8-1058	chr8	100494338	100495490	+	100492527	NA	NA	NA	NA	NA								
chr8-1057	chr8	100492105	100492780	+	100492527	NA	NA	NA	NA	NA								
chr8-1060	chr8	100494338	100495490	+	100492527	NA	NA	NA	NA	NA								
chr8-1059	chr8	100494338	100495490	+	100492527	NA	NA	NA	NA	NA								
chr7-1079	chr7	100483156	100484001	+	100483926	NA	NA	NA	NA	NA								
chr7-1080	chr7	100483156	100484001	+	100483926	NA	NA	NA	NA	NA								
chr7-1075	chr7	100478337	100479655	+	100478098	NA	NA	NA	NA	NA								
chr7-1078	chr7	100478337	100479655	+	100478098	NA	NA	NA	NA	NA								
chr7-1076	chr7	100478337	100479655	+	100478098	NA	NA	NA	NA	NA								
chr7-1077	chr7	100478337	100479655	+	100478098	NA	NA	NA	NA	NA								
chr8-1054	chr8	100473793	100474401	+	100475666	NA	NA	NA	NA	NA								
chr8-1055	chr8	100473793	100474401	+	100475666	NA	NA	NA	NA	NA								
chr8-1056	chr8	100475439	100475988	+	100475666	NA	NA	NA	NA	NA								
chr12-1517	chr12	100473690	100474103	+	100473707	NA	NA	NA	NA	NA								
chr12-1518	chr12	100475192	100475693	+	100473707	NA	NA	NA	NA	NA								
chr12-1519	chr12	100475192	100475693	+	100473707	NA	NA	NA	NA	NA								
chr9-792	chr9	100472784	100474183	+	100473148	NA	NA	NA	NA	NA								
chr9-789	chr9	100472784	100474183	+	100473148	NA	NA	NA	NA	NA								
chr9-790	chr9	100472784	100474183	+	100473148	NA	NA	NA	NA	NA								
chr9-791	chr9	100472784	100474183	+	100473148	NA	NA	NA	NA	NA								
chr1-1789	chr1	100463777	100464466	+	100462398	NA	NA	NA	NA	NA								
chr1-1790	chr1	100463777	100464466	+	100462398	NA	NA	NA	NA	NA								
chr7-1072	chr7	100435649	100436886	+	100436203	NA	NA	NA	NA	NA								
chr7-1074	chr7	100435649	100436886	+	100436203	NA	NA	NA	NA	NA								
chr7-1073	chr7	100435649	100436886	+	100436203	NA	NA	NA	NA	NA								
chr7-1067	chr7	100428190	100430458	+	100428321	NA	NA	NA	NA	NA								
chr7-1071	chr7	100428190	100430458	+	100428321	NA	NA	NA	NA	NA								
chr7-1069	chr7	100428190	100430458	+	100428321	NA	NA	NA	NA	NA								
chr7-1070	chr7	100428190	100430458	+	100428321	NA	NA	NA	NA	NA								
chr7-1066	chr7	100428190	100430458	+	100428321	NA	NA	NA	NA	NA								
chr7-1068	chr7	100428190	100430458	+	100428321	NA	NA	NA	NA	NA								
chr9-788	chr9	100426535	100427881	+	100427142	NA	NA	NA	NA	NA								
chr9-786	chr9	100426535	100427881	+	100427142	NA	NA	NA	NA	NA								
chr9-787	chr9	100426535	100427881	+	100427142	NA	NA	NA	NA	NA								
chr9-785	chr9	100426535	100427881	+	100427142	NA	NA	NA	NA	NA								
chr14-1234	chr14	100406530	100406916	+	100406598	NA	NA	NA	NA	NA								
chr3-1013	chr3	100400477	100402058	+	100401531	NA	NA	NA	NA	NA								
chr3-1010	chr3	100400477	100402058	+	100401531	NA	NA	NA	NA	NA								
chr3-1012	chr3	100400477	100402058	+	100401531	NA	NA	NA	NA	NA								
chr3-1011	chr3	100400477	100402058	+	100401531	NA	NA	NA	NA	NA								
chr3-1009	chr3	100400477	100402058	+	100401531	NA	NA	NA	NA	NA								
chr8-1053	chr8	100381074	100381356	+	100380485	NA	NA	NA	NA	NA								
chr8-1052	chr8	100378617	100378923	+	100380485	NA	NA	NA	NA	NA								
chr14-1230	chr14	100375268	100376736	+	100376417	NA	NA	NA	NA	NA								
chr14-1232	chr14	100375268	100376736	+	100376417	NA	NA	NA	NA	NA								
chr14-1233	chr14	100377861	100378117	+	100376417	NA	NA	NA	NA	NA								
chr14-1231	chr14	100375268	100376736	+	100376417	NA	NA	NA	NA	NA								
chr10-1281	chr10	100373066	100374422	+	100373098	NA	NA	NA	NA	NA								
chr10-1282	chr10	100373066	100374422	+	100373098	NA	NA	NA	NA	NA								
chr10-1280	chr10	100373066	100374422	+	100373098	NA	NA	NA	NA	NA								
chr15-1203	chr15	100372641	100373813	+	100372935	NA	NA	NA	NA	NA								
chr15-1202	chr15	100372641	100373813	+	100372935	NA	NA	NA	NA	NA								
chr15-1200	chr15	100372641	100373813	+	100372935	NA	NA	NA	NA	NA								
chr15-1201	chr15	100372641	100373813	+	100372935	NA	NA	NA	NA	NA								
chr10-1277	chr10	100370662	100371552	+	100372709	NA	NA	NA	NA	NA								
chr10-1278	chr10	100370662	100371552	+	100372709	NA	NA	NA	NA	NA								
chr10-1279	chr10	100370662	100371552	+	100372709	NA	NA	NA	NA	NA								
chr7-1065	chr7	100368983	100369551	+	100367529	NA	NA	NA	NA	NA								
chr10-1275	chr10	100346403	100347641	+	100347232	NA	NA	NA	NA	NA								
chr10-1276	chr10	100346403	100347641	+	100347232	NA	NA	NA	NA	NA								
chr15-1199	chr15	100341101	100342345	+	100344046	NA	NA	NA	NA	NA								
chr15-1198	chr15	100341101	100342345	+	100344046	NA	NA	NA	NA	NA								
chr15-1197	chr15	100341101	100342345	+	100344046	NA	NA	NA	NA	NA								
chr14-1229	chr14	100341213	100341934	+	100339831	NA	NA	NA	NA	NA								
chr7-1064	chr7	100335611	100336608	+	100336103	NA	NA	NA	NA	NA								
chr7-1062	chr7	100335611	100336608	+	100336103	NA	NA	NA	NA	NA								
chr7-1063	chr7	100335611	100336608	+	100336078	NA	NA	NA	NA	NA								
chr7-1061	chr7	100335611	100336608	+	100336078	NA	NA	NA	NA	NA								
chr3-1008	chr3	100334180	100335244	+	100334738	NA	NA	NA	NA	NA								
chr3-1007	chr3	100334180	100335244	+	100334738	NA	NA	NA	NA	NA								
chr14-1227	chr14	100323034	100324242	+	100323338	NA	NA	NA	NA	NA								
chr14-1228	chr14	100325074	100325608	+	100323338	NA	NA	NA	NA	NA								
chr14-1226	chr14	100323034	100324242	+	100323338	NA	NA	NA	NA	NA								
chr14-1224	chr14	100318021	100318506	+	100319072	NA	NA	NA	NA	NA								
chr14-1225	chr14	100318021	100318506	+	100319072	NA	NA	NA	NA	NA								
chr14-1222	chr14	100306216	100307365	+	100307858	NA	NA	NA	NA	NA								
chr14-1223	chr14	100306216	100307365	+	100307858	NA	NA	NA	NA	NA								
chr10-1274	chr10	100285982	100287077	+	100288148	NA	NA	NA	NA	NA								
chr10-1273	chr10	100285982	100287077	+	100288148	NA	NA	NA	NA	NA								
chr10-1272	chr10	100285982	100287077	+	100288148	NA	NA	NA	NA	NA								
chr12-1514	chr12	100266688	100268090	+	100267139	NA	NA	NA	NA	NA								
chr12-1515	chr12	100266688	100268090	+	100267139	NA	NA	NA	NA	NA								
chr12-1516	chr12	100266688	100268090	+	100267139	NA	NA	NA	NA	NA								
chr1-1787	chr1	100265568	100267047	+	100266215	NA	NA	NA	NA	NA								
chr1-1786	chr1	100265568	100267047	+	100266215	NA	NA	NA	NA	NA								
chr1-1788	chr1	100265568	100267047	+	100266215	NA	NA	NA	NA	NA								
chr3-1005	chr3	100260427	100261687	+	100260991	NA	NA	NA	NA	NA								
chr3-1006	chr3	100260427	100261687	+	100260991	NA	NA	NA	NA	NA								
chr8-1050	chr8	100258343	100259416	+	100257059	NA	NA	NA	NA	NA								
chr8-1049	chr8	100258343	100259416	+	100257059	NA	NA	NA	NA	NA								
chr8-1051	chr8	100258343	100259416	+	100257059	NA	NA	NA	NA	NA								
chr1-1784	chr1	100249180	100250298	+	100249089	NA	NA	NA	NA	NA								
chr1-1783	chr1	100249180	100250298	+	100249089	NA	NA	NA	NA	NA								
chr1-1785	chr1	100249180	100250298	+	100249089	NA	NA	NA	NA	NA								
chr14-1217	chr14	100238341	100239255	+	100238297	NA	NA	NA	NA	NA								
chr14-1221	chr14	100239910	100240763	+	100238297	NA	NA	NA	NA	NA								
chr14-1220	chr14	100239910	100240763	+	100238297	NA	NA	NA	NA	NA								
chr14-1218	chr14	100238341	100239255	+	100238297	NA	NA	NA	NA	NA								
chr14-1219	chr14	100239910	100240763	+	100238297	NA	NA	NA	NA	NA								
chr10-1271	chr10	100228773	100229936	+	100229628	NA	NA	NA	NA	NA								
chr10-1270	chr10	100228773	100229936	+	100229628	NA	NA	NA	NA	NA								
chr7-1060	chr7	100218058	100218263	+	100218240	NA	NA	NA	NA	NA								
chr12-1511	chr12	100199521	100201211	+	100199121	NA	NA	NA	NA	NA								
chr12-1512	chr12	100199521	100201211	+	100199121	NA	NA	NA	NA	NA								
chr12-1513	chr12	100199521	100201211	+	100199121	NA	NA	NA	NA	NA								
chr12-1510	chr12	100199521	100201211	+	100199121	NA	NA	NA	NA	NA								
chr13-730	chr13	100197319	100198404	+	100198186	NA	NA	NA	NA	NA								
chr13-731	chr13	100197319	100198404	+	100198186	NA	NA	NA	NA	NA								
chr13-732	chr13	100197319	100198404	+	100198186	NA	NA	NA	NA	NA								
chr4-852	chr4	100189809	100191160	+	100190032	NA	NA	NA	NA	NA								
chr4-850	chr4	100189809	100191160	+	100190032	NA	NA	NA	NA	NA								
chr4-851	chr4	100189809	100191160	+	100190032	NA	NA	NA	NA	NA								
chr10-1267	chr10	100185360	100186668	+	100188299	NA	NA	NA	NA	NA								
chr10-1269	chr10	100185360	100186668	+	100188299	NA	NA	NA	NA	NA								
chr10-1266	chr10	100185360	100186668	+	100188299	NA	NA	NA	NA	NA								
chr10-1268	chr10	100185360	100186668	+	100188299	NA	NA	NA	NA	NA								
chr1-1782	chr1	100187928	100188286	+	100186918	NA	NA	NA	NA	NA								
chr7-1059	chr7	100177102	100177938	+	100177562	NA	NA	NA	NA	NA								
chr6-1522	chr6	100177834	100178347	+	100177208	NA	NA	NA	NA	NA								
chr6-1521	chr6	100175789	100176278	+	100177208	NA	NA	NA	NA	NA								
chr7-1058	chr7	100157764	100158921	+	100159243	NA	NA	NA	NA	NA								
chr7-1055	chr7	100157764	100158921	+	100159243	NA	NA	NA	NA	NA								
chr7-1057	chr7	100157764	100158921	+	100159243	NA	NA	NA	NA	NA								
chr7-1056	chr7	100157764	100158921	+	100159243	NA	NA	NA	NA	NA								
chr8-1047	chr8	100157670	100158693	+	100157905	NA	NA	NA	NA	NA								
chr8-1048	chr8	100157670	100158693	+	100157905	NA	NA	NA	NA	NA								
chr12-1509	chr12	100154655	100155306	+	100156356	NA	NA	NA	NA	NA								
chr8-1046	chr8	100149929	100150894	+	100150622	NA	NA	NA	NA	NA								
chr8-1045	chr8	100149929	100150894	+	100150622	NA	NA	NA	NA	NA								
chr7-1054	chr7	100148440	100149335	+	100148911	NA	NA	NA	NA	NA								
chr10-1265	chr10	100141500	100142051	+	100143064	NA	NA	NA	NA	NA								
chr10-1264	chr10	100141500	100142051	+	100143064	NA	NA	NA	NA	NA								
chr12-1507	chr12	100141775	100143317	+	100143057	NA	NA	NA	NA	NA								
chr12-1506	chr12	100141775	100143317	+	100143057	NA	NA	NA	NA	NA								
chr12-1508	chr12	100141775	100143317	+	100143057	NA	NA	NA	NA	NA								
chr1-1780	chr1	100132523	100133483	+	100133149	NA	NA	NA	NA	NA								
chr1-1781	chr1	100132523	100133483	+	100133149	NA	NA	NA	NA	NA								
chr1-1779	chr1	100132523	100133483	+	100133149	NA	NA	NA	NA	NA								
chr7-1053	chr7	100132688	100132928	+	100130963	NA	NA	NA	NA	NA								
chr7-1051	chr7	100130649	100131252	+	100130963	NA	NA	NA	NA	NA								
chr7-1052	chr7	100130649	100131252	+	100130963	NA	NA	NA	NA	NA								
chr7-1047	chr7	100126654	100127922	+	100126784	NA	NA	NA	NA	NA								
chr7-1050	chr7	100126654	100127922	+	100126784	NA	NA	NA	NA	NA								
chr7-1049	chr7	100126654	100127922	+	100126784	NA	NA	NA	NA	NA								
chr7-1046	chr7	100126654	100127922	+	100126784	NA	NA	NA	NA	NA								
chr7-1048	chr7	100126654	100127922	+	100126784	NA	NA	NA	NA	NA								
chr7-1043	chr7	100119046	100120440	+	100119633	NA	NA	NA	NA	NA								
chr7-1044	chr7	100119046	100120440	+	100119633	NA	NA	NA	NA	NA								
chr7-1045	chr7	100119046	100120440	+	100119633	NA	NA	NA	NA	NA								
chr7-1042	chr7	100119046	100120440	+	100119633	NA	NA	NA	NA	NA								
chr14-1216	chr14	100108367	100108631	+	100109418	NA	NA	NA	NA	NA								
chr7-1039	chr7	100100416	100100982	+	100101548	NA	NA	NA	NA	NA								
chr7-1040	chr7	100101160	100102075	+	100101548	NA	NA	NA	NA	NA								
chr7-1041	chr7	100101160	100102075	+	100101548	NA	NA	NA	NA	NA								
chr9-781	chr9	100098212	100099915	+	100099242	NA	NA	NA	NA	NA								
chr9-783	chr9	100098212	100099915	+	100099242	NA	NA	NA	NA	NA								
chr9-780	chr9	100098212	100099915	+	100099242	NA	NA	NA	NA	NA								
chr9-782	chr9	100098212	100099915	+	100099242	NA	NA	NA	NA	NA								
chr9-784	chr9	100098212	100099915	+	100099242	NA	NA	NA	NA	NA								
chr13-729	chr13	100088652	100089594	+	100089014	NA	NA	NA	NA	NA								
chr7-1037	chr7	100088399	100089416	+	100088968	NA	NA	NA	NA	NA								
chr7-1038	chr7	100088399	100089416	+	100088968	NA	NA	NA	NA	NA								
chr7-1036	chr7	100065237	100066363	+	100064032	NA	NA	NA	NA	NA								
chr7-1035	chr7	100065237	100066363	+	100064032	NA	NA	NA	NA	NA								
chr7-1034	chr7	100065237	100066363	+	100064032	NA	NA	NA	NA	NA								
chr7-1032	chr7	100049411	100050088	+	100049773	NA	NA	NA	NA	NA								
chr7-1033	chr7	100049411	100050088	+	100049773	NA	NA	NA	NA	NA								
chr1-1778	chr1	100037543	100039259	+	100038094	NA	NA	NA	NA	NA								
chr1-1775	chr1	100037543	100039259	+	100038094	NA	NA	NA	NA	NA								
chr1-1773	chr1	100037543	100039259	+	100038094	NA	NA	NA	NA	NA								
chr1-1774	chr1	100037543	100039259	+	100038094	NA	NA	NA	NA	NA								
chr1-1777	chr1	100037543	100039259	+	100038094	NA	NA	NA	NA	NA								
chr1-1776	chr1	100037543	100039259	+	100038094	NA	NA	NA	NA	NA								
chr7-1029	chr7	100015368	100016273	+	100015571	NA	NA	NA	NA	NA								
chr7-1031	chr7	100017267	100017647	+	100015571	NA	NA	NA	NA	NA								
chr7-1028	chr7	100015368	100016273	+	100015571	NA	NA	NA	NA	NA								
chr7-1030	chr7	100015368	100016273	+	100015571	NA	NA	NA	NA	NA								
chr7-1027	chr7	99997552	99998506	+	99997689	NA	NA	NA	NA	NA								
chr7-1026	chr7	99997552	99998506	+	99997689	NA	NA	NA	NA	NA								
chr7-1025	chr7	99997552	99998506	+	99997689	NA	NA	NA	NA	NA								
chr7-1023	chr7	99990723	99991602	+	99992396	NA	NA	NA	NA	NA								
chr7-1024	chr7	99990723	99991602	+	99992396	NA	NA	NA	NA	NA								
chr12-1503	chr12	99984312	99985341	+	99985044	NA	NA	NA	NA	NA								
chr12-1505	chr12	99984312	99985341	+	99985044	NA	NA	NA	NA	NA								
chr12-1504	chr12	99984312	99985341	+	99985044	NA	NA	NA	NA	NA								
chr13-726	chr13	99980222	99980791	+	99981783	NA	NA	NA	NA	NA								
chr13-727	chr13	99980921	99981774	+	99981783	NA	NA	NA	NA	NA								
chr13-728	chr13	99980921	99981774	+	99981783	NA	NA	NA	NA	NA								
chr7-1022	chr7	99980517	99981029	+	99980740	NA	NA	NA	NA	NA								
chr7-1021	chr7	99975778	99976513	+	99974975	NA	NA	NA	NA	NA								
chr14-1214	chr14	99971099	99972128	+	99971448	NA	NA	NA	NA	NA								
chr14-1215	chr14	99971099	99972128	+	99971448	NA	NA	NA	NA	NA								
chr1-1770	chr1	99969283	99970644	+	99970010	NA	NA	NA	NA	NA								
chr1-1772	chr1	99969283	99970644	+	99970010	NA	NA	NA	NA	NA								
chr1-1768	chr1	99969283	99970644	+	99970010	NA	NA	NA	NA	NA								
chr1-1769	chr1	99969283	99970644	+	99969350	NA	NA	NA	NA	NA								
chr1-1771	chr1	99969283	99970644	+	99969350	NA	NA	NA	NA	NA								
chr1-1767	chr1	99969283	99970644	+	99969350	NA	NA	NA	NA	NA								
chr14-1212	chr14	99964822	99965721	+	99964528	NA	NA	NA	NA	NA								
chr14-1213	chr14	99964822	99965721	+	99964528	NA	NA	NA	NA	NA								
chr7-1020	chr7	99953561	99954116	+	99952032	NA	NA	NA	NA	NA								
chr4-847	chr4	99949034	99949311	+	99950005	NA	NA	NA	NA	NA								
chr4-849	chr4	99950173	99950928	+	99950005	NA	NA	NA	NA	NA								
chr4-848	chr4	99950173	99950928	+	99950005	NA	NA	NA	NA	NA								
chr4-845	chr4	99946194	99947239	+	99948085	NA	NA	NA	NA	NA								
chr4-843	chr4	99946194	99947239	+	99948085	NA	NA	NA	NA	NA								
chr4-844	chr4	99946194	99947239	+	99948085	NA	NA	NA	NA	NA								
chr4-846	chr4	99946194	99947239	+	99948085	NA	NA	NA	NA	NA								
chr14-1211	chr14	99943823	99944823	+	99945314	NA	NA	NA	NA	NA								
chr14-1210	chr14	99943823	99944823	+	99945314	NA	NA	NA	NA	NA								
chr7-1019	chr7	99929159	99929920	+	99929391	NA	NA	NA	NA	NA								
chr7-1018	chr7	99929159	99929920	+	99929391	NA	NA	NA	NA	NA								
chr10-1263	chr10	99927728	99928448	+	99927009	NA	NA	NA	NA	NA								
chr9-779	chr9	99906198	99907390	+	99906653	NA	NA	NA	NA	NA								
chr9-778	chr9	99906198	99907390	+	99906653	NA	NA	NA	NA	NA								
chr9-777	chr9	99906198	99907390	+	99906653	NA	NA	NA	NA	NA								
chr4-842	chr4	99893944	99894992	+	99896247	NA	NA	NA	NA	NA								
chr8-1043	chr8	99892894	99894131	+	99893372	NA	NA	NA	NA	NA								
chr8-1044	chr8	99892894	99894131	+	99893372	NA	NA	NA	NA	NA								
chr8-1042	chr8	99892894	99894131	+	99893372	NA	NA	NA	NA	NA								
chr1-1766	chr1	99849526	99850726	+	99850360	NA	NA	NA	NA	NA								
chr1-1765	chr1	99849526	99850726	+	99850360	NA	NA	NA	NA	NA								
chr1-1764	chr1	99849526	99850726	+	99850360	NA	NA	NA	NA	NA								
chr7-1016	chr7	99827047	99828116	+	99828012	NA	NA	NA	NA	NA								
chr7-1017	chr7	99829518	99829893	+	99828012	NA	NA	NA	NA	NA								
chr7-1014	chr7	99827047	99828116	+	99828012	NA	NA	NA	NA	NA								
chr7-1015	chr7	99827047	99828116	+	99828012	NA	NA	NA	NA	NA								
chr9-773	chr9	99819301	99820380	+	99821854	NA	NA	NA	NA	NA								
chr9-776	chr9	99821271	99822038	+	99821854	NA	NA	NA	NA	NA								
chr9-774	chr9	99819301	99820380	+	99821854	NA	NA	NA	NA	NA								
chr9-775	chr9	99821271	99822038	+	99821854	NA	NA	NA	NA	NA								
chr3-1002	chr3	99817353	99818423	+	99817836	NA	NA	NA	NA	NA								
chr3-1001	chr3	99817353	99818423	+	99817836	NA	NA	NA	NA	NA								
chr3-1003	chr3	99817353	99818423	+	99817836	NA	NA	NA	NA	NA								
chr3-1004	chr3	99817353	99818423	+	99817836	NA	NA	NA	NA	NA								
chr4-841	chr4	99816464	99817115	+	99816826	NA	NA	NA	NA	NA								
chr10-1262	chr10	99788390	99789127	+	99788563	NA	NA	NA	NA	NA								
chr10-1261	chr10	99782416	99782900	+	99782639	NA	NA	NA	NA	NA								
chr14-1209	chr14	99737046	99737857	+	99737692	NA	NA	NA	NA	NA								
chr14-1208	chr14	99737046	99737857	+	99737692	NA	NA	NA	NA	NA								
chr10-1260	chr10	99711185	99711457	+	99710867	NA	NA	NA	NA	NA								
chr1-1763	chr1	99700052	99700430	+	99698241	NA	NA	NA	NA	NA								
chr10-1258	chr10	99695830	99696318	+	99697406	NA	NA	NA	NA	NA								
chr10-1259	chr10	99698456	99699052	+	99697406	NA	NA	NA	NA	NA								
chr14-1205	chr14	99683355	99684630	+	99684297	NA	NA	NA	NA	NA								
chr14-1207	chr14	99683355	99684630	+	99684297	NA	NA	NA	NA	NA								
chr14-1206	chr14	99683355	99684630	+	99684297	NA	NA	NA	NA	NA								
chr10-1256	chr10	99658634	99659766	+	99659508	NA	NA	NA	NA	NA								
chr10-1257	chr10	99658634	99659766	+	99659508	NA	NA	NA	NA	NA								
chr1-1758	chr1	99645252	99646594	+	99646112	NA	NA	NA	NA	NA								
chr1-1759	chr1	99645252	99646594	+	99646112	NA	NA	NA	NA	NA								
chr1-1761	chr1	99647562	99647991	+	99646112	NA	NA	NA	NA	NA								
chr1-1762	chr1	99647562	99647991	+	99646112	NA	NA	NA	NA	NA								
chr1-1757	chr1	99645252	99646594	+	99646112	NA	NA	NA	NA	NA								
chr1-1760	chr1	99645252	99646594	+	99646112	NA	NA	NA	NA	NA								
chr14-1203	chr14	99644622	99645572	+	99645128	NA	NA	NA	NA	NA								
chr14-1204	chr14	99644622	99645572	+	99645128	NA	NA	NA	NA	NA								
chr10-1254	chr10	99620253	99621731	+	99620856	NA	NA	NA	NA	NA								
chr10-1251	chr10	99620253	99621731	+	99620856	NA	NA	NA	NA	NA								
chr10-1255	chr10	99620253	99621731	+	99620856	NA	NA	NA	NA	NA								
chr10-1252	chr10	99620253	99621731	+	99620856	NA	NA	NA	NA	NA								
chr10-1253	chr10	99620253	99621731	+	99620856	NA	NA	NA	NA	NA								
chr7-1012	chr7	99616438	99617518	+	99616945	NA	NA	NA	NA	NA								
chr7-1011	chr7	99616438	99617518	+	99616945	NA	NA	NA	NA	NA								
chr7-1013	chr7	99616438	99617518	+	99616945	NA	NA	NA	NA	NA								
chr8-1040	chr8	99612183	99612871	+	99613782	NA	NA	NA	NA	NA								
chr8-1041	chr8	99612183	99612871	+	99613782	NA	NA	NA	NA	NA								
chr13-724	chr13	99605912	99607113	+	99606668	NA	NA	NA	NA	NA								
chr13-725	chr13	99605912	99607113	+	99606668	NA	NA	NA	NA	NA								
chr14-1202	chr14	99604012	99604724	+	99604516	NA	NA	NA	NA	NA								
chr13-722	chr13	99577947	99579315	+	99577111	NA	NA	NA	NA	NA								
chr13-723	chr13	99577947	99579315	+	99577111	NA	NA	NA	NA	NA								
chr15-1196	chr15	99564764	99566260	+	99565416	NA	NA	NA	NA	NA								
chr15-1195	chr15	99564764	99566260	+	99565416	NA	NA	NA	NA	NA								
chr15-1194	chr15	99564764	99566260	+	99565416	NA	NA	NA	NA	NA								
chr4-839	chr4	99563299	99564240	+	99564080	NA	NA	NA	NA	NA								
chr4-838	chr4	99563299	99564240	+	99564080	NA	NA	NA	NA	NA								
chr4-840	chr4	99563299	99564240	+	99564080	NA	NA	NA	NA	NA								
chr7-1006	chr7	99558142	99559344	+	99558694	NA	NA	NA	NA	NA								
chr7-1008	chr7	99558142	99559344	+	99558694	NA	NA	NA	NA	NA								
chr7-1010	chr7	99558142	99559344	+	99558694	NA	NA	NA	NA	NA								
chr7-1007	chr7	99558142	99559344	+	99558405	NA	NA	NA	NA	NA								
chr7-1009	chr7	99558142	99559344	+	99558405	NA	NA	NA	NA	NA								
chr7-1005	chr7	99558142	99559344	+	99558405	NA	NA	NA	NA	NA								
chr6-1518	chr6	99520859	99521771	+	99520975	NA	NA	NA	NA	NA								
chr6-1520	chr6	99520859	99521771	+	99520975	NA	NA	NA	NA	NA								
chr6-1519	chr6	99520859	99521771	+	99520975	NA	NA	NA	NA	NA								
chr3-1000	chr3	99505858	99506320	+	99507186	NA	NA	NA	NA	NA								
chr7-1004	chr7	99504316	99505457	+	99504661	NA	NA	NA	NA	NA								
chr7-1003	chr7	99504316	99505457	+	99504661	NA	NA	NA	NA	NA								
chr7-1002	chr7	99504316	99505457	+	99504661	NA	NA	NA	NA	NA								
chr3-999	chr3	99499070	99499501	+	99500346	NA	NA	NA	NA	NA								
chr13-721	chr13	99501056	99501864	+	99499726	NA	NA	NA	NA	NA								
chr13-720	chr13	99501056	99501864	+	99499726	NA	NA	NA	NA	NA								
chr13-717	chr13	99496198	99497118	+	99498736	NA	NA	NA	NA	NA								
chr13-719	chr13	99498401	99498953	+	99498736	NA	NA	NA	NA	NA								
chr13-718	chr13	99496198	99497118	+	99498736	NA	NA	NA	NA	NA								
chr14-1200	chr14	99480003	99481736	+	99481168	NA	NA	NA	NA	NA								
chr14-1196	chr14	99480003	99481736	+	99481168	NA	NA	NA	NA	NA								
chr14-1199	chr14	99480003	99481736	+	99481168	NA	NA	NA	NA	NA								
chr14-1201	chr14	99480003	99481736	+	99481168	NA	NA	NA	NA	NA								
chr14-1198	chr14	99480003	99481736	+	99481168	NA	NA	NA	NA	NA								
chr14-1197	chr14	99480003	99481736	+	99481168	NA	NA	NA	NA	NA								
chr15-1193	chr15	99474048	99474604	+	99473453	NA	NA	NA	NA	NA								
chr15-1192	chr15	99474048	99474604	+	99473453	NA	NA	NA	NA	NA								
chr7-1000	chr7	99472281	99473526	+	99472889	NA	NA	NA	NA	NA								
chr7-1001	chr7	99472281	99473526	+	99472889	NA	NA	NA	NA	NA								
chr7-999	chr7	99472281	99473526	+	99472889	NA	NA	NA	NA	NA								
chr7-997	chr7	99438354	99439672	+	99438921	NA	NA	NA	NA	NA								
