PeakID (cmd=annotatePeaks.pl classification/results/raw_results/human_mapped_from_mouse_promoters.bed /ocean/projects/bio230007p/ikaplow/HumanGenomeInfo/hg38.fa -gff3 /ocean/projects/bio230007p/ikaplow/HumanGenomeInfo/gencode.v47.annotation.gff3.gz)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr1-1973	chr1	161118724	161119548	+	161118085	NA	NA	NA	NA	NA								
chr3-1265	chr3	161104510	161105674	+	161104695	NA	NA	NA	NA	NA								
chr3-1266	chr3	161104510	161105674	+	161104695	NA	NA	NA	NA	NA								
chr1-1971	chr1	161097788	161097973	+	161098360	NA	NA	NA	NA	NA								
chr1-1970	chr1	161045409	161046336	+	161046026	NA	NA	NA	NA	NA								
chr1-1969	chr1	161045409	161046336	+	161046026	NA	NA	NA	NA	NA								
chr1-1968	chr1	161045409	161046336	+	161046026	NA	NA	NA	NA	NA								
chr1-1967	chr1	161045409	161046336	+	161046026	NA	NA	NA	NA	NA								
chr1-1966	chr1	161038668	161039282	+	161039250	NA	NA	NA	NA	NA								
chr1-1964	chr1	161032538	161033327	+	161034833	NA	NA	NA	NA	NA								
chr1-1965	chr1	161032538	161033327	+	161034833	NA	NA	NA	NA	NA								
chr6-1114	chr6	160991212	160992785	+	160991726	NA	NA	NA	NA	NA								
chr6-1113	chr6	160991212	160992785	+	160991726	NA	NA	NA	NA	NA								
chr6-1112	chr6	160991212	160992785	+	160991726	NA	NA	NA	NA	NA								
chr6-1111	chr6	160991212	160992785	+	160991726	NA	NA	NA	NA	NA								
chr3-1259	chr3	160754425	160755220	+	160755601	NA	NA	NA	NA	NA								
chr3-1260	chr3	160755353	160756461	+	160755601	NA	NA	NA	NA	NA								
chr3-1262	chr3	160755353	160756461	+	160755601	NA	NA	NA	NA	NA								
chr3-1264	chr3	160757129	160757494	+	160755601	NA	NA	NA	NA	NA								
chr3-1258	chr3	160754425	160755220	+	160755601	NA	NA	NA	NA	NA								
chr3-1263	chr3	160757129	160757494	+	160755601	NA	NA	NA	NA	NA								
chr3-1257	chr3	160754425	160755220	+	160755601	NA	NA	NA	NA	NA								
chr3-1261	chr3	160755353	160756461	+	160755601	NA	NA	NA	NA	NA								
chr3-1252	chr3	160564283	160564618	+	160565446	NA	NA	NA	NA	NA								
chr3-1253	chr3	160564729	160566225	+	160565446	NA	NA	NA	NA	NA								
chr3-1254	chr3	160564729	160566225	+	160565446	NA	NA	NA	NA	NA								
chr3-1251	chr3	160564283	160564618	+	160565446	NA	NA	NA	NA	NA								
chr3-1255	chr3	160564729	160566225	+	160565446	NA	NA	NA	NA	NA								
chr3-1256	chr3	160564729	160566225	+	160565446	NA	NA	NA	NA	NA								
chr5-1083	chr5	160439173	160439447	+	160438593	NA	NA	NA	NA	NA								
chr5-1082	chr5	160438437	160438688	+	160438593	NA	NA	NA	NA	NA								
chr5-1081	chr5	160421737	160422070	+	160421854	NA	NA	NA	NA	NA								
chr2-1041	chr2	160407187	160408266	+	160407809	NA	NA	NA	NA	NA								
chr1-1962	chr1	160400312	160400914	+	160400563	NA	NA	NA	NA	NA								
chr1-1963	chr1	160400312	160400914	+	160400563	NA	NA	NA	NA	NA								
chr3-1250	chr3	160399473	160401098	+	160399273	NA	NA	NA	NA	NA								
chr3-1247	chr3	160398966	160399375	+	160399273	NA	NA	NA	NA	NA								
chr3-1248	chr3	160399473	160401098	+	160399273	NA	NA	NA	NA	NA								
chr3-1249	chr3	160399473	160401098	+	160399273	NA	NA	NA	NA	NA								
chr6-1109	chr6	160347639	160348681	+	160348377	NA	NA	NA	NA	NA								
chr6-1110	chr6	160347639	160348681	+	160348377	NA	NA	NA	NA	NA								
chr1-1960	chr1	160342637	160343841	+	160343293	NA	NA	NA	NA	NA								
chr1-1959	chr1	160342637	160343841	+	160343293	NA	NA	NA	NA	NA								
chr1-1961	chr1	160342637	160343841	+	160343293	NA	NA	NA	NA	NA								
chr1-1958	chr1	160261628	160262847	+	160261730	NA	NA	NA	NA	NA								
chr1-1957	chr1	160261628	160262847	+	160261730	NA	NA	NA	NA	NA								
chr1-1955	chr1	160261628	160262847	+	160261730	NA	NA	NA	NA	NA								
chr1-1956	chr1	160261628	160262847	+	160261730	NA	NA	NA	NA	NA								
chr3-1246	chr3	160225158	160226850	+	160225421	NA	NA	NA	NA	NA								
chr3-1245	chr3	160225158	160226850	+	160225421	NA	NA	NA	NA	NA								
chr3-1244	chr3	160225158	160226850	+	160225421	NA	NA	NA	NA	NA								
chr1-1952	chr1	160205171	160205968	+	160205379	NA	NA	NA	NA	NA								
chr1-1953	chr1	160205171	160205968	+	160205379	NA	NA	NA	NA	NA								
chr1-1954	chr1	160205171	160205968	+	160205379	NA	NA	NA	NA	NA								
chr1-1951	chr1	160019973	160020291	+	160020299	NA	NA	NA	NA	NA								
chr5-1080	chr5	160008948	160009816	+	160009112	NA	NA	NA	NA	NA								
chr5-1079	chr5	160008948	160009816	+	160009112	NA	NA	NA	NA	NA								
chr5-1078	chr5	160008948	160009816	+	160009112	NA	NA	NA	NA	NA								
chr6-1108	chr6	159968834	159969904	+	159969081	NA	NA	NA	NA	NA								
chr6-1107	chr6	159968834	159969904	+	159969081	NA	NA	NA	NA	NA								
chr2-1040	chr2	159932234	159932764	+	159932005	NA	NA	NA	NA	NA								
chr2-1039	chr2	159932234	159932764	+	159932005	NA	NA	NA	NA	NA								
chr1-1950	chr1	159925409	159925716	+	159927038	NA	NA	NA	NA	NA								
chr1-1949	chr1	159891467	159891955	+	159890206	NA	NA	NA	NA	NA								
chr5-1075	chr5	159863584	159864315	+	159865079	NA	NA	NA	NA	NA								
chr5-1077	chr5	159866867	159867044	+	159865079	NA	NA	NA	NA	NA								
chr5-1076	chr5	159864811	159865192	+	159865079	NA	NA	NA	NA	NA								
chr5-1074	chr5	159863584	159864315	+	159865079	NA	NA	NA	NA	NA								
chr1-1946	chr1	159854304	159855439	+	159854869	NA	NA	NA	NA	NA								
chr1-1948	chr1	159854304	159855439	+	159854869	NA	NA	NA	NA	NA								
chr1-1944	chr1	159854304	159855439	+	159854869	NA	NA	NA	NA	NA								
chr1-1947	chr1	159854304	159855439	+	159854315	NA	NA	NA	NA	NA								
chr1-1945	chr1	159854304	159855439	+	159854315	NA	NA	NA	NA	NA								
chr1-1943	chr1	159854304	159855439	+	159854315	NA	NA	NA	NA	NA								
chr2-1036	chr2	159797564	159799044	+	159797287	NA	NA	NA	NA	NA								
chr2-1037	chr2	159797564	159799044	+	159797287	NA	NA	NA	NA	NA								
chr2-1035	chr2	159796624	159797129	+	159797287	NA	NA	NA	NA	NA								
chr2-1038	chr2	159797564	159799044	+	159797287	NA	NA	NA	NA	NA								
chr6-1105	chr6	159789328	159791284	+	159789811	NA	NA	NA	NA	NA								
chr6-1106	chr6	159789328	159791284	+	159789811	NA	NA	NA	NA	NA								
chr1-1941	chr1	159780551	159781729	+	159780931	NA	NA	NA	NA	NA								
chr1-1942	chr1	159780551	159781729	+	159780931	NA	NA	NA	NA	NA								
chr3-1241	chr3	159763097	159764545	+	159765386	NA	NA	NA	NA	NA								
chr3-1243	chr3	159763097	159764545	+	159765386	NA	NA	NA	NA	NA								
chr3-1242	chr3	159763097	159764545	+	159765386	NA	NA	NA	NA	NA								
chr3-1240	chr3	159763097	159764545	+	159765386	NA	NA	NA	NA	NA								
chr6-1102	chr6	159761931	159762543	+	159762044	NA	NA	NA	NA	NA								
chr6-1104	chr6	159762001	159763006	+	159762044	NA	NA	NA	NA	NA								
chr6-1103	chr6	159762001	159763006	+	159762044	NA	NA	NA	NA	NA								
chr1-1939	chr1	159756119	159757699	+	159759169	NA	NA	NA	NA	NA								
chr1-1938	chr1	159756119	159757699	+	159759169	NA	NA	NA	NA	NA								
chr1-1937	chr1	159756119	159757699	+	159759169	NA	NA	NA	NA	NA								
chr1-1940	chr1	159756119	159757699	+	159759169	NA	NA	NA	NA	NA								
chr2-1033	chr2	159711847	159712476	+	159712456	NA	NA	NA	NA	NA								
chr2-1034	chr2	159711847	159712476	+	159712456	NA	NA	NA	NA	NA								
chr1-1932	chr1	159713335	159714758	+	159712288	NA	NA	NA	NA	NA								
chr1-1933	chr1	159713335	159714758	+	159712288	NA	NA	NA	NA	NA								
chr1-1934	chr1	159713335	159714758	+	159712288	NA	NA	NA	NA	NA								
chr1-1931	chr1	159710351	159710550	+	159712288	NA	NA	NA	NA	NA								
chr1-1935	chr1	159713335	159714758	+	159712288	NA	NA	NA	NA	NA								
chr1-1936	chr1	159713335	159714758	+	159712288	NA	NA	NA	NA	NA								
chr1-1930	chr1	159705640	159706331	+	159704982	NA	NA	NA	NA	NA								
chr2-1031	chr2	159615069	159616642	+	159615291	NA	NA	NA	NA	NA								
chr2-1032	chr2	159615069	159616642	+	159615291	NA	NA	NA	NA	NA								
chr1-1929	chr1	159581249	159581796	+	159581619	NA	NA	NA	NA	NA								
chr5-1073	chr5	159482427	159482762	+	159484129	NA	NA	NA	NA	NA								
chr5-1071	chr5	159262594	159264181	+	159263289	NA	NA	NA	NA	NA								
chr5-1070	chr5	159262594	159264181	+	159263289	NA	NA	NA	NA	NA								
chr5-1072	chr5	159262594	159264181	+	159263289	NA	NA	NA	NA	NA								
chr5-1069	chr5	159262594	159264181	+	159263289	NA	NA	NA	NA	NA								
chr5-1068	chr5	159261469	159261668	+	159262271	NA	NA	NA	NA	NA								
chr5-1065	chr5	159207657	159209319	+	159209920	NA	NA	NA	NA	NA								
chr5-1067	chr5	159209408	159210275	+	159209920	NA	NA	NA	NA	NA								
chr5-1066	chr5	159209408	159210275	+	159209920	NA	NA	NA	NA	NA								
chr5-1062	chr5	159207657	159209319	+	159209920	NA	NA	NA	NA	NA								
chr5-1064	chr5	159207657	159209319	+	159209920	NA	NA	NA	NA	NA								
chr5-1063	chr5	159207657	159209319	+	159209920	NA	NA	NA	NA	NA								
chr1-1928	chr1	159177365	159177773	+	159178472	NA	NA	NA	NA	NA								
chr5-1057	chr5	159104287	159104962	+	159106379	NA	NA	NA	NA	NA								
chr5-1061	chr5	159106496	159107135	+	159106379	NA	NA	NA	NA	NA								
chr5-1056	chr5	159104287	159104962	+	159106379	NA	NA	NA	NA	NA								
chr5-1060	chr5	159106496	159107135	+	159106379	NA	NA	NA	NA	NA								
chr5-1059	chr5	159106496	159107135	+	159106379	NA	NA	NA	NA	NA								
chr5-1058	chr5	159104287	159104962	+	159106379	NA	NA	NA	NA	NA								
chr4-824	chr4	159102115	159104765	+	159103012	NA	NA	NA	NA	NA								
chr4-822	chr4	159102115	159104765	+	159103012	NA	NA	NA	NA	NA								
chr4-819	chr4	159102115	159104765	+	159103012	NA	NA	NA	NA	NA								
chr4-820	chr4	159102115	159104765	+	159103012	NA	NA	NA	NA	NA								
chr4-821	chr4	159102115	159104765	+	159103012	NA	NA	NA	NA	NA								
chr4-825	chr4	159102115	159104765	+	159103012	NA	NA	NA	NA	NA								
chr4-823	chr4	159102115	159104765	+	159103012	NA	NA	NA	NA	NA								
chr2-1029	chr2	158969535	158970441	+	158968639	NA	NA	NA	NA	NA								
chr2-1028	chr2	158969535	158970441	+	158968639	NA	NA	NA	NA	NA								
chr2-1027	chr2	158968180	158969281	+	158968639	NA	NA	NA	NA	NA								
chr2-1026	chr2	158968180	158969281	+	158968639	NA	NA	NA	NA	NA								
chr2-1030	chr2	158969535	158970441	+	158968639	NA	NA	NA	NA	NA								
chr6-1100	chr6	158869344	158870460	+	158869847	NA	NA	NA	NA	NA								
chr6-1101	chr6	158869344	158870460	+	158869847	NA	NA	NA	NA	NA								
chr3-1239	chr3	158802051	158803816	+	158801256	NA	NA	NA	NA	NA								
chr3-1238	chr3	158802051	158803816	+	158801256	NA	NA	NA	NA	NA								
chr4-817	chr4	158768512	158769747	+	158769025	NA	NA	NA	NA	NA								
chr4-818	chr4	158768512	158769747	+	158769025	NA	NA	NA	NA	NA								
chr3-1233	chr3	158731449	158733149	+	158732262	NA	NA	NA	NA	NA								
chr3-1237	chr3	158731449	158733149	+	158732262	NA	NA	NA	NA	NA								
chr3-1235	chr3	158731449	158733149	+	158732262	NA	NA	NA	NA	NA								
chr3-1232	chr3	158731449	158733149	+	158732197	NA	NA	NA	NA	NA								
chr3-1234	chr3	158731449	158733149	+	158732197	NA	NA	NA	NA	NA								
chr3-1236	chr3	158731449	158733149	+	158732197	NA	NA	NA	NA	NA								
chr5-1055	chr5	158695569	158695892	+	158695915	NA	NA	NA	NA	NA								
chr4-816	chr4	158671842	158672726	+	158671967	NA	NA	NA	NA	NA								
chr4-815	chr4	158671842	158672726	+	158671967	NA	NA	NA	NA	NA								
chr4-813	chr4	158671842	158672726	+	158671967	NA	NA	NA	NA	NA								
chr4-814	chr4	158671842	158672726	+	158671967	NA	NA	NA	NA	NA								
chr3-1231	chr3	158644287	158645018	+	158644526	NA	NA	NA	NA	NA								
chr2-1024	chr2	158543987	158544256	+	158545073	NA	NA	NA	NA	NA								
chr2-1025	chr2	158546216	158546870	+	158545073	NA	NA	NA	NA	NA								
chr3-1230	chr3	158495658	158495927	+	158496560	NA	NA	NA	NA	NA								
chr2-1022	chr2	158456644	158458537	+	158456951	NA	NA	NA	NA	NA								
chr2-1023	chr2	158456644	158458537	+	158456951	NA	NA	NA	NA	NA								
chr2-1021	chr2	158456644	158458537	+	158456951	NA	NA	NA	NA	NA								
chr6-1099	chr6	158231634	158233206	+	158232235	NA	NA	NA	NA	NA								
chr6-1098	chr6	158231634	158233206	+	158232235	NA	NA	NA	NA	NA								
chr6-1097	chr6	158231634	158233206	+	158232235	NA	NA	NA	NA	NA								
chr6-1096	chr6	158231634	158233206	+	158232235	NA	NA	NA	NA	NA								
chr5-1054	chr5	158174935	158175324	+	158175395	NA	NA	NA	NA	NA								
chr4-811	chr4	158170593	158171439	+	158170751	NA	NA	NA	NA	NA								
chr4-810	chr4	158170593	158171439	+	158170751	NA	NA	NA	NA	NA								
chr4-809	chr4	158170593	158171439	+	158170751	NA	NA	NA	NA	NA								
chr4-812	chr4	158172591	158172764	+	158170751	NA	NA	NA	NA	NA								
chr4-808	chr4	158170593	158171439	+	158170751	NA	NA	NA	NA	NA								
chr6-1094	chr6	158167686	158168746	+	158168349	NA	NA	NA	NA	NA								
chr6-1095	chr6	158167686	158168746	+	158168349	NA	NA	NA	NA	NA								
chr3-1229	chr3	158105507	158106010	+	158105854	NA	NA	NA	NA	NA								
chr3-1227	chr3	158097860	158098459	+	158095904	NA	NA	NA	NA	NA								
chr3-1228	chr3	158097860	158098459	+	158095904	NA	NA	NA	NA	NA								
chr6-1090	chr6	157981501	157982517	+	157981862	NA	NA	NA	NA	NA								
chr6-1092	chr6	157981501	157982517	+	157981862	NA	NA	NA	NA	NA								
chr6-1093	chr6	157981501	157982517	+	157981862	NA	NA	NA	NA	NA								
chr6-1091	chr6	157981501	157982517	+	157981862	NA	NA	NA	NA	NA								
chr6-1089	chr6	157981501	157982517	+	157981862	NA	NA	NA	NA	NA								
chr6-1087	chr6	157885584	157886310	+	157885113	NA	NA	NA	NA	NA								
chr6-1088	chr6	157885584	157886310	+	157885113	NA	NA	NA	NA	NA								
chr2-1020	chr2	157875669	157876875	+	157876701	NA	NA	NA	NA	NA								
chr2-1017	chr2	157875216	157875611	+	157876701	NA	NA	NA	NA	NA								
chr2-1018	chr2	157875669	157876875	+	157876701	NA	NA	NA	NA	NA								
chr2-1019	chr2	157875669	157876875	+	157876701	NA	NA	NA	NA	NA								
chr6-1086	chr6	157873768	157874181	+	157872570	NA	NA	NA	NA	NA								
chr4-807	chr4	157816644	157817176	+	157818100	NA	NA	NA	NA	NA								
chr4-806	chr4	157816644	157817176	+	157818100	NA	NA	NA	NA	NA								
chr5-1053	chr5	157809629	157809996	+	157809097	NA	NA	NA	NA	NA								
chr1-1927	chr1	157795627	157796243	+	157794402	NA	NA	NA	NA	NA								
chr5-1051	chr5	157743452	157744564	+	157743711	NA	NA	NA	NA	NA								
chr5-1052	chr5	157743452	157744564	+	157743711	NA	NA	NA	NA	NA								
chr5-1050	chr5	157743452	157744564	+	157743711	NA	NA	NA	NA	NA								
chr5-1048	chr5	157731089	157731892	+	157731419	NA	NA	NA	NA	NA								
chr5-1049	chr5	157731089	157731892	+	157731419	NA	NA	NA	NA	NA								
chr5-1047	chr5	157671110	157671814	+	157671532	NA	NA	NA	NA	NA								
chr5-1044	chr5	157563303	157564194	+	157565963	NA	NA	NA	NA	NA								
chr5-1046	chr5	157563303	157564194	+	157565963	NA	NA	NA	NA	NA								
chr5-1045	chr5	157563303	157564194	+	157565963	NA	NA	NA	NA	NA								
chr3-1226	chr3	157437583	157437990	+	157436849	NA	NA	NA	NA	NA								
chr6-1085	chr6	157380546	157381678	+	157381132	NA	NA	NA	NA	NA								
chr6-1082	chr6	157379772	157380371	+	157381132	NA	NA	NA	NA	NA								
chr6-1084	chr6	157380546	157381678	+	157381132	NA	NA	NA	NA	NA								
chr6-1083	chr6	157380546	157381678	+	157381132	NA	NA	NA	NA	NA								
chr6-1078	chr6	157322981	157324276	+	157323963	NA	NA	NA	NA	NA								
chr6-1081	chr6	157322981	157324276	+	157323963	NA	NA	NA	NA	NA								
chr6-1079	chr6	157322981	157324276	+	157323963	NA	NA	NA	NA	NA								
chr6-1080	chr6	157322981	157324276	+	157323963	NA	NA	NA	NA	NA								
chr6-1077	chr6	157322981	157324276	+	157323963	NA	NA	NA	NA	NA								
chr5-1043	chr5	157265527	157266244	+	157266078	NA	NA	NA	NA	NA								
chr5-1042	chr5	157265527	157266244	+	157266078	NA	NA	NA	NA	NA								
chr3-1225	chr3	157159190	157160940	+	157162662	NA	NA	NA	NA	NA								
chr3-1224	chr3	157159190	157160940	+	157162662	NA	NA	NA	NA	NA								
chr3-1223	chr3	157159190	157160940	+	157162662	NA	NA	NA	NA	NA								
chr6-1076	chr6	157107848	157108671	+	157107726	NA	NA	NA	NA	NA								
chr6-1075	chr6	157107848	157108671	+	157107726	NA	NA	NA	NA	NA								
chr1-1926	chr1	157092772	157093123	+	157092042	NA	NA	NA	NA	NA								
chr1-1925	chr1	157090141	157090623	+	157092042	NA	NA	NA	NA	NA								
chr1-1924	chr1	157090141	157090623	+	157092042	NA	NA	NA	NA	NA								
chr3-1222	chr3	157081755	157082019	+	157081737	NA	NA	NA	NA	NA								
chr4-803	chr4	156970610	156972154	+	156972630	NA	NA	NA	NA	NA								
chr4-805	chr4	156970610	156972154	+	156972630	NA	NA	NA	NA	NA								
chr4-802	chr4	156970610	156972154	+	156972630	NA	NA	NA	NA	NA								
chr4-804	chr4	156970610	156972154	+	156972630	NA	NA	NA	NA	NA								
chr1-1923	chr1	156838735	156839525	+	156840062	NA	NA	NA	NA	NA								
chr3-1221	chr3	156826262	156827040	+	156825480	NA	NA	NA	NA	NA								
chr3-1220	chr3	156826262	156827040	+	156825480	NA	NA	NA	NA	NA								
chr6-1073	chr6	156777477	156779932	+	156779677	NA	NA	NA	NA	NA								
chr6-1074	chr6	156777477	156779932	+	156779677	NA	NA	NA	NA	NA								
chr6-1069	chr6	156777477	156779932	+	156779677	NA	NA	NA	NA	NA								
chr6-1072	chr6	156777477	156779932	+	156779677	NA	NA	NA	NA	NA								
chr6-1070	chr6	156777477	156779932	+	156779677	NA	NA	NA	NA	NA								
chr6-1071	chr6	156777477	156779932	+	156779677	NA	NA	NA	NA	NA								
chr6-1068	chr6	156776732	156777436	+	156776359	NA	NA	NA	NA	NA								
chr6-1067	chr6	156776732	156777436	+	156776359	NA	NA	NA	NA	NA								
chr1-1921	chr1	156766943	156768221	+	156768104	NA	NA	NA	NA	NA								
chr1-1920	chr1	156766943	156768221	+	156768104	NA	NA	NA	NA	NA								
chr1-1922	chr1	156766943	156768221	+	156768104	NA	NA	NA	NA	NA								
chr1-1919	chr1	156750905	156752266	+	156750609	NA	NA	NA	NA	NA								
chr1-1918	chr1	156750905	156752266	+	156750609	NA	NA	NA	NA	NA								
chr1-1917	chr1	156750905	156752266	+	156750609	NA	NA	NA	NA	NA								
chr3-1219	chr3	156746381	156746780	+	156747342	NA	NA	NA	NA	NA								
chr3-1218	chr3	156745779	156746061	+	156747342	NA	NA	NA	NA	NA								
chr1-1914	chr1	156728143	156729031	+	156728441	NA	NA	NA	NA	NA								
chr1-1915	chr1	156728143	156729031	+	156728441	NA	NA	NA	NA	NA								
chr1-1916	chr1	156728143	156729031	+	156728441	NA	NA	NA	NA	NA								
chr1-1913	chr1	156709716	156710497	+	156712211	NA	NA	NA	NA	NA								
chr3-1212	chr3	156673367	156675889	+	156673234	NA	NA	NA	NA	NA								
chr3-1213	chr3	156673367	156675889	+	156673234	NA	NA	NA	NA	NA								
chr3-1214	chr3	156673367	156675889	+	156673234	NA	NA	NA	NA	NA								
chr3-1211	chr3	156673367	156675889	+	156673234	NA	NA	NA	NA	NA								
chr3-1217	chr3	156673367	156675889	+	156673234	NA	NA	NA	NA	NA								
chr3-1215	chr3	156673367	156675889	+	156673234	NA	NA	NA	NA	NA								
chr3-1216	chr3	156673367	156675889	+	156673234	NA	NA	NA	NA	NA								
chr7-1030	chr7	156640104	156640893	+	156640280	NA	NA	NA	NA	NA								
chr1-1912	chr1	156616090	156616788	+	156614741	NA	NA	NA	NA	NA								
chr1-1911	chr1	156591733	156592416	+	156591755	NA	NA	NA	NA	NA								
chr1-1908	chr1	156524276	156525162	+	156525404	NA	NA	NA	NA	NA								
chr1-1910	chr1	156524276	156525162	+	156525404	NA	NA	NA	NA	NA								
chr1-1909	chr1	156524276	156525162	+	156525404	NA	NA	NA	NA	NA								
chr3-1210	chr3	156523008	156523292	+	156523739	NA	NA	NA	NA	NA								
chr1-1907	chr1	156510513	156510713	+	156509853	NA	NA	NA	NA	NA								
chr1-1906	chr1	156504537	156505183	+	156504659	NA	NA	NA	NA	NA								
chr1-1905	chr1	156504537	156505183	+	156504659	NA	NA	NA	NA	NA								
chr1-1903	chr1	156500719	156501594	+	156503082	NA	NA	NA	NA	NA								
chr1-1904	chr1	156500719	156501594	+	156503082	NA	NA	NA	NA	NA								
chr1-1902	chr1	156500719	156501594	+	156503082	NA	NA	NA	NA	NA								
chr2-1016	chr2	156435434	156436817	+	156435289	NA	NA	NA	NA	NA								
chr2-1015	chr2	156435434	156436817	+	156435289	NA	NA	NA	NA	NA								
chr2-1014	chr2	156435434	156436817	+	156435289	NA	NA	NA	NA	NA								
chr1-1900	chr1	156419619	156421347	+	156420340	NA	NA	NA	NA	NA								
chr1-1899	chr1	156419619	156421347	+	156420340	NA	NA	NA	NA	NA								
chr1-1901	chr1	156419619	156421347	+	156420340	NA	NA	NA	NA	NA								
chr1-1898	chr1	156419619	156421347	+	156420340	NA	NA	NA	NA	NA								
chr1-1895	chr1	156337598	156338890	+	156337313	NA	NA	NA	NA	NA								
chr1-1897	chr1	156337598	156338890	+	156337313	NA	NA	NA	NA	NA								
chr1-1896	chr1	156337598	156338890	+	156337313	NA	NA	NA	NA	NA								
chr1-1894	chr1	156337598	156338890	+	156337313	NA	NA	NA	NA	NA								
chr1-1893	chr1	156337598	156338890	+	156337313	NA	NA	NA	NA	NA								
chr1-1891	chr1	156282395	156283544	+	156282934	NA	NA	NA	NA	NA								
chr1-1892	chr1	156282395	156283544	+	156282934	NA	NA	NA	NA	NA								
chr1-1889	chr1	156244733	156244966	+	156243319	NA	NA	NA	NA	NA								
chr1-1888	chr1	156244507	156245166	+	156243319	NA	NA	NA	NA	NA								
chr1-1890	chr1	156244762	156245100	+	156243319	NA	NA	NA	NA	NA								
chr1-1885	chr1	156082415	156083233	+	156082572	NA	NA	NA	NA	NA								
chr1-1887	chr1	156082415	156083233	+	156082572	NA	NA	NA	NA	NA								
chr1-1886	chr1	156082415	156083233	+	156082572	NA	NA	NA	NA	NA								
chr1-1880	chr1	156052933	156054468	+	156054781	NA	NA	NA	NA	NA								
chr1-1882	chr1	156052933	156054468	+	156054781	NA	NA	NA	NA	NA								
chr1-1884	chr1	156054533	156055369	+	156054781	NA	NA	NA	NA	NA								
chr1-1883	chr1	156052933	156054468	+	156054781	NA	NA	NA	NA	NA								
chr1-1881	chr1	156052933	156054468	+	156054781	NA	NA	NA	NA	NA								
chr1-1879	chr1	155989258	155989868	+	155991389	NA	NA	NA	NA	NA								
chr1-1877	chr1	155910609	155911629	+	155913044	NA	NA	NA	NA	NA								
chr1-1878	chr1	155910609	155911629	+	155913044	NA	NA	NA	NA	NA								
chr1-1876	chr1	155859289	155859614	+	155859566	NA	NA	NA	NA	NA								
chr3-1208	chr3	155853182	155854908	+	155854751	NA	NA	NA	NA	NA								
chr3-1209	chr3	155853182	155854908	+	155854751	NA	NA	NA	NA	NA								
chr3-1207	chr3	155853182	155854908	+	155854751	NA	NA	NA	NA	NA								
chr4-801	chr4	155758911	155760240	+	155758991	NA	NA	NA	NA	NA								
chr4-800	chr4	155758911	155760240	+	155758991	NA	NA	NA	NA	NA								
chr4-798	chr4	155758911	155760240	+	155758991	NA	NA	NA	NA	NA								
chr4-797	chr4	155758911	155760240	+	155758991	NA	NA	NA	NA	NA								
chr4-799	chr4	155758911	155760240	+	155758991	NA	NA	NA	NA	NA								
chr4-794	chr4	155666747	155668091	+	155666725	NA	NA	NA	NA	NA								
chr4-796	chr4	155666747	155668091	+	155666725	NA	NA	NA	NA	NA								
chr4-795	chr4	155666747	155668091	+	155666725	NA	NA	NA	NA	NA								
chr7-1028	chr7	155644273	155645022	+	155644450	NA	NA	NA	NA	NA								
chr7-1029	chr7	155644273	155645022	+	155644450	NA	NA	NA	NA	NA								
chr7-1027	chr7	155644273	155645022	+	155644450	NA	NA	NA	NA	NA								
chr7-1024	chr7	155458128	155458845	+	155458128	NA	NA	NA	NA	NA								
chr7-1026	chr7	155458128	155458845	+	155458128	NA	NA	NA	NA	NA								
chr7-1025	chr7	155458128	155458845	+	155458128	NA	NA	NA	NA	NA								
chr4-792	chr4	155442361	155442808	+	155442649	NA	NA	NA	NA	NA								
chr4-793	chr4	155442361	155442808	+	155442649	NA	NA	NA	NA	NA								
chr7-1023	chr7	155380185	155380619	+	155382075	NA	NA	NA	NA	NA								
chr7-1022	chr7	155380185	155380619	+	155382075	NA	NA	NA	NA	NA								
chr1-1875	chr1	155320777	155321402	+	155320893	NA	NA	NA	NA	NA								
chr1-1874	chr1	155320777	155321402	+	155320893	NA	NA	NA	NA	NA								
chr1-1871	chr1	155308496	155309405	+	155308747	NA	NA	NA	NA	NA								
chr1-1873	chr1	155308496	155309405	+	155308747	NA	NA	NA	NA	NA								
chr1-1872	chr1	155308496	155309405	+	155308747	NA	NA	NA	NA	NA								
chr7-1020	chr7	155296433	155297572	+	155297775	NA	NA	NA	NA	NA								
chr7-1021	chr7	155296433	155297572	+	155297775	NA	NA	NA	NA	NA								
chr7-1019	chr7	155251716	155252200	+	155252836	NA	NA	NA	NA	NA								
chr7-1018	chr7	155251716	155252200	+	155252836	NA	NA	NA	NA	NA								
chr1-1867	chr1	155206518	155207302	+	155208694	NA	NA	NA	NA	NA								
chr1-1868	chr1	155208516	155209549	+	155208694	NA	NA	NA	NA	NA								
chr1-1869	chr1	155208516	155209549	+	155208694	NA	NA	NA	NA	NA								
chr1-1870	chr1	155208516	155209549	+	155208694	NA	NA	NA	NA	NA								
chr1-1866	chr1	155193200	155193821	+	155194995	NA	NA	NA	NA	NA								
chr1-1865	chr1	155193200	155193821	+	155194995	NA	NA	NA	NA	NA								
chr1-1863	chr1	155172773	155173522	+	155173786	NA	NA	NA	NA	NA								
chr1-1864	chr1	155174848	155175088	+	155173786	NA	NA	NA	NA	NA								
